,Station,Easting,Northing,Elevation,Alignment_Station_int
341,205+359,2612411.0849,1269056.4255,254.602,205359.0
343,205+362,2612412.5597,1269053.813,254.452,205362.0
345,205+365,2612414.0361,1269051.2015,254.302,205365.0
347,205+368,2612415.514,1269048.5908,254.152,205368.0
349,205+371,2612416.9935,1269045.9809,254.002,205371.0
351,205+374,2612418.4745,1269043.372,253.852,205374.0
353,205+377,2612419.9571,1269040.764,253.702,205377.0
355,205+380,2612421.4413,1269038.1568,253.552,205380.0
357,205+383,2612422.9271,1269035.5506,253.402,205383.0
359,205+386,2612424.4144,1269032.9452,253.252,205386.0
361,205+389,2612425.9032,1269030.3407,253.101,205389.0
363,205+389.861,2612426.3308,1269029.5935,253.058,205389.861
365,205+392,2612427.3933,1269027.7369,252.951,205392.0
367,205+395,2612428.8834,1269025.1332,252.801,205395.0
369,205+398,2612430.3735,1269022.5294,252.651,205398.0
371,205+401,2612431.8636,1269019.9256,252.501,205401.0
373,205+404,2612433.3537,1269017.3219,252.351,205404.0
375,205+407,2612434.8438,1269014.7181,252.201,205407.0
377,205+410,2612436.3339,1269012.1143,252.051,205410.0
379,205+413,2612437.824,1269009.5106,251.901,205413.0
381,205+416,2612439.3141,1269006.9068,251.751,205416.0
383,205+419,2612440.8041,1269004.303,251.601,205419.0
385,205+422,2612442.2942,1269001.6993,251.451,205422.0
387,205+425,2612443.7843,1268999.0955,251.3,205425.0
389,205+428,2612445.2744,1268996.4917,251.15,205428.0
391,205+431,2612446.7645,1268993.888,251.0,205431.0
393,205+434,2612448.2546,1268991.2842,250.85,205434.0
395,205+437,2612449.7447,1268988.6804,250.7,205437.0
397,205+440,2612451.2348,1268986.0767,250.55,205440.0
399,205+443,2612452.7249,1268983.4729,250.4,205443.0
401,205+446,2612454.215,1268980.8691,250.25,205446.0
403,205+449,2612455.7051,1268978.2653,250.1,205449.0
405,205+452,2612457.1952,1268975.6616,249.95,205452.0
407,205+455,2612458.6853,1268973.0578,249.8,205455.0
409,205+458,2612460.1754,1268970.454,249.65,205458.0
411,205+461,2612461.6655,1268967.8503,249.499,205461.0
413,205+464,2612463.1556,1268965.2465,249.349,205464.0
415,205+467,2612464.6457,1268962.6427,249.199,205467.0
417,205+470,2612466.1358,1268960.039,249.049,205470.0
419,205+473,2612467.6259,1268957.4352,248.899,205473.0
421,205+476,2612469.116,1268954.8314,248.749,205476.0
423,205+479,2612470.6061,1268952.2277,248.599,205479.0
425,205+482,2612472.0962,1268949.6239,248.449,205482.0
427,205+485,2612473.5863,1268947.0201,248.299,205485.0
429,205+488,2612475.0764,1268944.4164,248.149,205488.0
431,205+491,2612476.5665,1268941.8126,247.999,205491.0
433,205+494,2612478.0566,1268939.2088,247.849,205494.0
435,205+497,2612479.5467,1268936.6051,247.698,205497.0
437,205+500,2612481.0368,1268934.0013,247.548,205500.0
439,205+503,2612482.5269,1268931.3975,247.398,205503.0
441,205+506,2612484.017,1268928.7938,247.248,205506.0
