,Station,Easting,Northing,Elevation,Alignment_Station_int
1899,207+663,2613975.0506,1267475.8466,219.537,207663.0
1901,207+666,2613977.7188,1267474.4754,219.594,207666.0
1903,207+669,2613980.3871,1267473.1041,219.651,207669.0
1905,207+672,2613983.0553,1267471.7328,219.708,207672.0
1907,207+675,2613985.7236,1267470.3616,219.765,207675.0
1909,207+678,2613988.3919,1267468.9903,219.822,207678.0
1911,207+681,2613991.0601,1267467.619,219.879,207681.0
1913,207+684,2613993.7284,1267466.2478,219.936,207684.0
1915,207+687,2613996.3967,1267464.8765,219.994,207687.0
1917,207+690,2613999.0649,1267463.5052,220.051,207690.0
1919,207+693,2614001.7332,1267462.134,220.108,207693.0
1921,207+696,2614004.4014,1267460.7627,220.165,207696.0
1923,207+699,2614007.0697,1267459.3914,220.222,207699.0
1925,207+702,2614009.738,1267458.0202,220.279,207702.0
1927,207+705,2614012.4062,1267456.6489,220.336,207705.0
1929,207+708,2614015.0745,1267455.2776,220.393,207708.0
1931,207+711,2614017.7428,1267453.9064,220.45,207711.0
1933,207+714,2614020.411,1267452.5351,220.508,207714.0
1935,207+717,2614023.0793,1267451.1638,220.565,207717.0
1937,207+720,2614025.7475,1267449.7925,220.622,207720.0
1939,207+723,2614028.4158,1267448.4213,220.679,207723.0
1941,207+726,2614031.0841,1267447.05,220.736,207726.0
1943,207+729,2614033.7523,1267445.6787,220.793,207729.0
1945,207+732,2614036.4206,1267444.3075,220.85,207732.0
1947,207+735,2614039.0889,1267442.9362,220.907,207735.0
1949,207+738,2614041.7571,1267441.5649,220.964,207738.0
1951,207+741,2614044.4254,1267440.1937,221.021,207741.0
1953,207+744,2614047.0936,1267438.8224,221.079,207744.0
1955,207+747,2614049.7619,1267437.4511,221.136,207747.0
1957,207+750,2614052.4302,1267436.0799,221.193,207750.0
1959,207+753,2614055.0984,1267434.7086,221.25,207753.0
1961,207+756,2614057.7667,1267433.3373,221.307,207756.0
1963,207+759,2614060.435,1267431.9661,221.364,207759.0
1965,207+762,2614063.1032,1267430.5948,221.421,207762.0
1967,207+765,2614065.7715,1267429.2235,221.478,207765.0
1969,207+768,2614068.4397,1267427.8523,221.535,207768.0
1971,207+771,2614071.108,1267426.481,221.592,207771.0
1973,207+774,2614073.7763,1267425.1097,221.65,207774.0
1975,207+777,2614076.4445,1267423.7385,221.707,207777.0
1977,207+780,2614079.1128,1267422.3672,221.764,207780.0
1979,207+783,2614081.7811,1267420.9959,221.821,207783.0
1981,207+786,2614084.4493,1267419.6247,221.878,207786.0
1983,207+789,2614087.1176,1267418.2534,221.935,207789.0
1985,207+792,2614089.7858,1267416.8821,221.992,207792.0
1987,207+795,2614092.4541,1267415.5109,222.049,207795.0
1989,207+798,2614095.1224,1267414.1396,222.106,207798.0
1991,207+801,2614097.7906,1267412.7683,222.163,207801.0
1993,207+804,2614100.4589,1267411.3971,222.221,207804.0
1995,207+807,2614103.1272,1267410.0258,222.278,207807.0
1997,207+810,2614105.7954,1267408.6545,222.335,207810.0
1999,207+813,2614108.4637,1267407.2832,222.392,207813.0
2001,207+816,2614111.1319,1267405.912,222.449,207816.0
2003,207+819,2614113.8002,1267404.5407,222.506,207819.0
2005,207+822,2614116.4685,1267403.1694,222.563,207822.0
2007,207+825,2614119.1367,1267401.7982,222.62,207825.0
2009,207+828,2614121.805,1267400.4269,222.677,207828.0
2011,207+830.393,2614123.9338,1267399.3329,222.723,207830.393
2013,207+831,2614124.4733,1267399.0556,222.734,207831.0
2015,207+834,2614127.1415,1267397.6843,222.792,207834.0
2017,207+837,2614129.8096,1267396.3128,222.849,207837.0
2019,207+840,2614132.4776,1267394.941,222.906,207840.0
2021,207+843,2614135.1454,1267393.5687,222.963,207843.0
2023,207+846,2614137.8128,1267392.1958,223.02,207846.0
2025,207+849,2614140.4798,1267390.8221,223.077,207849.0
2027,207+852,2614143.1463,1267389.4474,223.134,207852.0
2029,207+855,2614145.8123,1267388.0717,223.191,207855.0
2031,207+858,2614148.4776,1267386.6947,223.248,207858.0
2033,207+861,2614151.1422,1267385.3164,223.305,207861.0
2035,207+864,2614153.806,1267383.9366,223.363,207864.0
2037,207+867,2614156.469,1267382.555,223.42,207867.0
2039,207+870,2614159.131,1267381.1716,223.477,207870.0
2041,207+873,2614161.792,1267379.7863,223.534,207873.0
2043,207+876,2614164.4519,1267378.3988,223.591,207876.0
2045,207+879,2614167.1105,1267377.0091,223.648,207879.0
2047,207+882,2614169.768,1267375.6169,223.705,207882.0
2049,207+885,2614172.424,1267374.2222,223.762,207885.0
2051,207+888,2614175.0787,1267372.8247,223.819,207888.0
2053,207+891,2614177.7318,1267371.4244,223.877,207891.0
2055,207+894,2614180.3833,1267370.0211,223.934,207894.0
2057,207+897,2614183.0332,1267368.6146,223.991,207897.0
2059,207+900,2614185.6813,1267367.2048,224.048,207900.0
2061,207+903,2614188.3276,1267365.7915,224.105,207903.0
2063,207+906,2614190.9719,1267364.3746,224.162,207906.0
2065,207+909,2614193.6142,1267362.954,224.219,207909.0
2067,207+912,2614196.2544,1267361.5295,224.276,207912.0
2069,207+915,2614198.8925,1267360.101,224.333,207915.0
2071,207+918,2614201.5283,1267358.6683,224.39,207918.0
2073,207+921,2614204.1617,1267357.2312,224.448,207921.0
2075,207+924,2614206.7926,1267355.7897,224.505,207924.0
2077,207+927,2614209.4211,1267354.3436,224.562,207927.0
2079,207+930,2614212.0469,1267352.8927,224.619,207930.0
2081,207+933,2614214.67,1267351.4369,224.676,207933.0
2083,207+936,2614217.2903,1267349.976,224.733,207936.0
2085,207+939,2614219.9077,1267348.51,224.79,207939.0
2087,207+942,2614222.5221,1267347.0386,224.847,207942.0
2089,207+945,2614225.1334,1267345.5618,224.904,207945.0
2091,207+948,2614227.7416,1267344.0794,224.961,207948.0
2093,207+951,2614230.3464,1267342.5912,225.019,207951.0
2095,207+954,2614232.9479,1267341.0971,225.076,207954.0
2097,207+957,2614235.5459,1267339.5971,225.133,207957.0
2099,207+960,2614238.1404,1267338.0908,225.19,207960.0
2101,207+963,2614240.7312,1267336.5782,225.247,207963.0
2103,207+966,2614243.3182,1267335.0593,225.304,207966.0
2105,207+969,2614245.9013,1267333.5337,225.361,207969.0
2107,207+972,2614248.4805,1267332.0014,225.418,207972.0
2109,207+975,2614251.0556,1267330.4623,225.475,207975.0
2111,207+978,2614253.6265,1267328.9162,225.532,207978.0
2113,207+981,2614256.1932,1267327.363,225.59,207981.0
2115,207+984,2614258.7554,1267325.8026,225.647,207984.0
2117,207+987,2614261.3131,1267324.2348,225.704,207987.0
2119,207+987.256,2614261.5313,1267324.1005,225.709,207987.256
2121,207+990,2614263.866,1267322.6596,225.761,207990.0
2123,207+993,2614266.4145,1267321.0768,225.818,207993.0
2125,207+996,2614268.9583,1267319.4865,225.875,207996.0
2127,207+999,2614271.4974,1267317.8887,225.932,207999.0
2129,208+002,2614274.0318,1267316.2835,225.989,208002.0
2131,208+005,2614276.5615,1267314.6708,226.046,208005.0
2133,208+008,2614279.0864,1267313.0507,226.103,208008.0
2135,208+011,2614281.6066,1267311.4232,226.161,208011.0
2137,208+014,2614284.1219,1267309.7883,226.218,208014.0
2139,208+017,2614286.6325,1267308.146,226.275,208017.0
2141,208+020,2614289.1382,1267306.4963,226.332,208020.0
2143,208+023,2614291.639,1267304.8392,226.389,208023.0
2145,208+026,2614294.1349,1267303.1748,226.446,208026.0
2147,208+029,2614296.626,1267301.503,226.503,208029.0
2149,208+032,2614299.1121,1267299.824,226.56,208032.0
2151,208+035,2614301.5932,1267298.1376,226.617,208035.0
2153,208+035.134,2614301.7036,1267298.0624,226.62,208035.134
2155,208+038,2614304.0694,1267296.444,226.675,208038.0
2157,208+041,2614306.5406,1267294.743,226.734,208041.0
2159,208+044,2614309.0068,1267293.0348,226.794,208044.0
2161,208+047,2614311.468,1267291.3194,226.855,208047.0
2163,208+050,2614313.924,1267289.5967,226.918,208050.0
2165,208+053,2614316.3751,1267287.8668,226.981,208053.0
2167,208+056,2614318.821,1267286.1297,227.046,208056.0
2169,208+059,2614321.2618,1267284.3855,227.112,208059.0
2171,208+062,2614323.6974,1267282.634,227.18,208062.0
2173,208+065,2614326.1279,1267280.8754,227.248,208065.0
2175,208+068,2614328.5532,1267279.1097,227.318,208068.0
2177,208+071,2614330.9734,1267277.3368,227.389,208071.0
2179,208+074,2614333.3882,1267275.5568,227.461,208074.0
2181,208+077,2614335.7979,1267273.7697,227.534,208077.0
2183,208+080,2614338.2023,1267271.9756,227.608,208080.0
2185,208+083,2614340.6013,1267270.1744,227.684,208083.0
2187,208+086,2614342.9951,1267268.3661,227.761,208086.0
2189,208+089,2614345.3836,1267266.5508,227.839,208089.0
2191,208+092,2614347.7667,1267264.7285,227.918,208092.0
2193,208+095,2614350.1444,1267262.8992,227.999,208095.0
2195,208+098,2614352.5167,1267261.0629,228.08,208098.0
2197,208+101,2614354.8837,1267259.2196,228.163,208101.0
2199,208+104,2614357.2451,1267257.3694,228.247,208104.0
2201,208+107,2614359.6012,1267255.5122,228.333,208107.0
2203,208+110,2614361.9518,1267253.6481,228.419,208110.0
2205,208+113,2614364.2968,1267251.7771,228.507,208113.0
2207,208+116,2614366.6364,1267249.8993,228.596,208116.0
2209,208+119,2614368.9704,1267248.0145,228.686,208119.0
2211,208+122,2614371.2989,1267246.1229,228.777,208122.0
2213,208+125,2614373.6218,1267244.2244,228.87,208125.0
2215,208+128,2614375.9391,1267242.3192,228.963,208128.0
2217,208+131,2614378.2508,1267240.4071,229.058,208131.0
2219,208+134,2614380.5569,1267238.4882,229.154,208134.0
2221,208+137,2614382.8573,1267236.5626,229.252,208137.0
2223,208+140,2614385.152,1267234.6302,229.35,208140.0
2225,208+143,2614387.4411,1267232.691,229.45,208143.0
2227,208+146,2614389.7244,1267230.7452,229.551,208146.0
2229,208+149,2614392.002,1267228.7926,229.653,208149.0
2231,208+152,2614394.2738,1267226.8333,229.756,208152.0
2233,208+155,2614396.5399,1267224.8674,229.861,208155.0
2235,208+158,2614398.8002,1267222.8948,229.966,208158.0
2237,208+161,2614401.0547,1267220.9156,230.073,208161.0
2239,208+164,2614403.3033,1267218.9297,230.181,208164.0
2241,208+167,2614405.5461,1267216.9372,230.291,208167.0
2243,208+170,2614407.783,1267214.9382,230.401,208170.0
2245,208+173,2614410.014,1267212.9326,230.513,208173.0
2247,208+176,2614412.2391,1267210.9204,230.626,208176.0
2249,208+179,2614414.4583,1267208.9017,230.74,208179.0
2251,208+182,2614416.6716,1267206.8765,230.855,208182.0
2253,208+185,2614418.8789,1267204.8447,230.972,208185.0
2255,208+188,2614421.0801,1267202.8065,231.09,208188.0
2257,208+191,2614423.2754,1267200.7618,231.209,208191.0
2259,208+194,2614425.4647,1267198.7107,231.329,208194.0
2261,208+197,2614427.6479,1267196.6532,231.45,208197.0
2263,208+200,2614429.8251,1267194.5892,231.573,208200.0
2265,208+203,2614431.9962,1267192.5188,231.696,208203.0
2267,208+206,2614434.1612,1267190.4421,231.821,208206.0
2269,208+209,2614436.32,1267188.359,231.948,208209.0
2271,208+212,2614438.4727,1267186.2696,232.075,208212.0
2273,208+215,2614440.6193,1267184.1738,232.203,208215.0
2275,208+218,2614442.7597,1267182.0717,232.333,208218.0
2277,208+221,2614444.8939,1267179.9634,232.464,208221.0
2279,208+224,2614447.0219,1267177.8488,232.596,208224.0
2281,208+227,2614449.1437,1267175.7279,232.73,208227.0
2283,208+230,2614451.2592,1267173.6008,232.864,208230.0
2285,208+233,2614453.3685,1267171.4675,233.0,208233.0
2287,208+236,2614455.4715,1267169.328,233.137,208236.0
2289,208+239,2614457.5681,1267167.1823,233.275,208239.0
2291,208+242,2614459.6585,1267165.0305,233.414,208242.0
2293,208+245,2614461.7425,1267162.8725,233.555,208245.0
2295,208+248,2614463.8202,1267160.7084,233.697,208248.0
2297,208+251,2614465.8914,1267158.5382,233.84,208251.0
2299,208+254,2614467.9563,1267156.3619,233.984,208254.0
2301,208+257,2614470.0148,1267154.1795,234.129,208257.0
2303,208+260,2614472.0669,1267151.9912,234.276,208260.0
2305,208+263,2614474.1125,1267149.7967,234.424,208263.0
2307,208+266,2614476.1516,1267147.5963,234.573,208266.0
2309,208+267.358,2614477.0723,1267146.5986,234.64,208267.358
2311,208+269,2614478.1843,1267145.3899,234.723,208269.0
2313,208+272,2614480.2105,1267143.1775,234.873,208272.0
2315,208+275,2614482.2301,1267140.9592,235.023,208275.0
2317,208+278,2614484.2432,1267138.7349,235.173,208278.0
2319,208+281,2614486.2498,1267136.5047,235.323,208281.0
2321,208+284,2614488.2498,1267134.2687,235.473,208284.0
2323,208+287,2614490.2432,1267132.0267,235.623,208287.0
2325,208+287.976,2614490.8901,1267131.2964,235.672,208287.976
2327,208+290,2614492.23,1267129.7789,235.774,208290.0
2329,208+293,2614494.2101,1267127.5252,235.924,208293.0
2331,208+296,2614496.1833,1267125.2654,236.074,208296.0
2333,208+299,2614498.1493,1267122.9995,236.224,208299.0
2335,208+302,2614500.1081,1267120.7272,236.374,208302.0
2337,208+305,2614502.0594,1267118.4485,236.524,208305.0
2339,208+308,2614504.003,1267116.1633,236.674,208308.0
2341,208+311,2614505.9388,1267113.8714,236.824,208311.0
2343,208+314,2614507.8665,1267111.5727,236.975,208314.0
2345,208+317,2614509.786,1267109.2672,237.125,208317.0
2347,208+319.113,2614511.1324,1267107.6398,237.23,208319.113
2349,208+320,2614511.6968,1267106.955,237.275,208320.0
2351,208+320.628,2614512.0958,1267106.47,237.306,208320.628
2353,208+323,2614513.5993,1267104.6354,237.425,208323.0
2355,208+326,2614515.4932,1267102.3088,237.573,208326.0
2357,208+329,2614517.3785,1267099.9751,237.721,208329.0
2359,208+332,2614519.2551,1267097.6346,237.867,208332.0
2361,208+335,2614521.123,1267095.287,238.012,208335.0
2363,208+338,2614522.9822,1267092.9326,238.155,208338.0
2365,208+341,2614524.8327,1267090.5713,238.298,208341.0
2367,208+344,2614526.6745,1267088.2032,238.439,208344.0
2369,208+347,2614528.5074,1267085.8283,238.579,208347.0
2371,208+350,2614530.3315,1267083.4466,238.718,208350.0
2373,208+353,2614532.1468,1267081.0581,238.856,208353.0
2375,208+356,2614533.9533,1267078.663,238.993,208356.0
2377,208+359,2614535.7508,1267076.2611,239.128,208359.0
2379,208+362,2614537.5395,1267073.8527,239.262,208362.0
2381,208+365,2614539.3192,1267071.4376,239.395,208365.0
2383,208+368,2614541.09,1267069.0159,239.527,208368.0
2385,208+371,2614542.8518,1267066.5878,239.657,208371.0
2387,208+374,2614544.6045,1267064.1531,239.787,208374.0
2389,208+377,2614546.3483,1267061.7119,239.915,208377.0
2391,208+380,2614548.083,1267059.2643,240.042,208380.0
2393,208+383,2614549.8086,1267056.8102,240.167,208383.0
2395,208+386,2614551.5251,1267054.3498,240.292,208386.0
2397,208+389,2614553.2325,1267051.8831,240.415,208389.0
2399,208+392,2614554.9307,1267049.4101,240.537,208392.0
2401,208+395,2614556.6198,1267046.9307,240.658,208395.0
2403,208+398,2614558.2997,1267044.4452,240.778,208398.0
2405,208+401,2614559.9704,1267041.9534,240.896,208401.0
2407,208+404,2614561.6318,1267039.4555,241.014,208404.0
2409,208+407,2614563.2839,1267036.9514,241.13,208407.0
2411,208+410,2614564.9268,1267034.4412,241.245,208410.0
2413,208+413,2614566.5604,1267031.925,241.358,208413.0
2415,208+416,2614568.1846,1267029.4027,241.471,208416.0
2417,208+419,2614569.7995,1267026.8745,241.582,208419.0
2419,208+422,2614571.405,1267024.3402,241.692,208422.0
2421,208+425,2614573.0011,1267021.8001,241.801,208425.0
2423,208+428,2614574.5878,1267019.254,241.909,208428.0
2425,208+431,2614576.165,1267016.7021,242.015,208431.0
2427,208+434,2614577.7328,1267014.1443,242.12,208434.0
2429,208+437,2614579.2911,1267011.5808,242.224,208437.0
2431,208+440,2614580.8399,1267009.0115,242.327,208440.0
2433,208+443,2614582.3792,1267006.4365,242.429,208443.0
2435,208+446,2614583.9089,1267003.8558,242.529,208446.0
2437,208+449,2614585.4291,1267001.2695,242.629,208449.0
2439,208+452,2614586.9396,1266998.6776,242.727,208452.0
2441,208+455,2614588.4406,1266996.08,242.823,208455.0
2443,208+458,2614589.9319,1266993.477,242.919,208458.0
2445,208+461,2614591.4136,1266990.8684,243.013,208461.0
2447,208+464,2614592.8856,1266988.2544,243.107,208464.0
2449,208+467,2614594.3479,1266985.6349,243.199,208467.0
2451,208+470,2614595.8005,1266983.01,243.29,208470.0
2453,208+473,2614597.2434,1266980.3798,243.379,208473.0
2455,208+476,2614598.6765,1266977.7442,243.468,208476.0
2457,208+479,2614600.0998,1266975.1034,243.555,208479.0
2459,208+482,2614601.5134,1266972.4573,243.641,208482.0
2461,208+485,2614602.9171,1266969.806,243.726,208485.0
2463,208+488,2614604.311,1266967.1495,243.809,208488.0
2465,208+491,2614605.6951,1266964.4878,243.891,208491.0
2467,208+494,2614607.0693,1266961.8211,243.973,208494.0
2469,208+497,2614608.4336,1266959.1492,244.053,208497.0
2471,208+500,2614609.788,1266956.4724,244.131,208500.0
2473,208+503,2614611.1325,1266953.7905,244.209,208503.0
2475,208+506,2614612.467,1266951.1037,244.285,208506.0
2477,208+509,2614613.7916,1266948.412,244.361,208509.0
2479,208+512,2614615.1062,1266945.7153,244.435,208512.0
2481,208+515,2614616.4108,1266943.0139,244.507,208515.0
2483,208+518,2614617.7054,1266940.3076,244.579,208518.0
2485,208+521,2614618.99,1266937.5965,244.649,208521.0
2487,208+524,2614620.2645,1266934.8807,244.718,208524.0
2489,208+527,2614621.5289,1266932.1602,244.786,208527.0
2491,208+530,2614622.7833,1266929.435,244.853,208530.0
2493,208+533,2614624.0275,1266926.7052,244.919,208533.0
2495,208+536,2614625.2617,1266923.9708,244.983,208536.0
2497,208+539,2614626.4857,1266921.2319,245.046,208539.0
2499,208+542,2614627.6995,1266918.4884,245.108,208542.0
2501,208+545,2614628.9032,1266915.7405,245.169,208545.0
2503,208+545.352,2614629.0438,1266915.4178,245.176,208545.352
2505,208+548,2614630.0967,1266912.9881,245.229,208548.0
2507,208+551,2614631.28,1266910.2313,245.289,208551.0
2509,208+554,2614632.4531,1266907.4702,245.349,208554.0
2511,208+557,2614633.6159,1266904.7047,245.409,208557.0
2513,208+560,2614634.7685,1266901.935,245.469,208560.0
2515,208+563,2614635.9108,1266899.161,245.529,208563.0
2517,208+566,2614637.0429,1266896.3828,245.589,208566.0
2519,208+569,2614638.1646,1266893.6004,245.649,208569.0
2521,208+572,2614639.276,1266890.8138,245.709,208572.0
2523,208+575,2614640.3771,1266888.0232,245.769,208575.0
2525,208+578,2614641.4679,1266885.2285,245.829,208578.0
2527,208+581,2614642.5483,1266882.4298,245.889,208581.0
2529,208+584,2614643.6183,1266879.6272,245.949,208584.0
2531,208+587,2614644.678,1266876.8205,246.009,208587.0
2533,208+590,2614645.7272,1266874.01,246.069,208590.0
2535,208+593,2614646.766,1266871.1956,246.129,208593.0
2537,208+596,2614647.7944,1266868.3774,246.189,208596.0
2539,208+599,2614648.8124,1266865.5554,246.249,208599.0
2541,208+602,2614649.8198,1266862.7296,246.309,208602.0
2543,208+605,2614650.8169,1266859.9001,246.369,208605.0
2545,208+608,2614651.8034,1266857.067,246.428,208608.0
2547,208+611,2614652.7794,1266854.2302,246.488,208611.0
2549,208+614,2614653.7449,1266851.3898,246.548,208614.0
2551,208+617,2614654.6999,1266848.5458,246.608,208617.0
2553,208+618.071,2614655.0383,1266847.5297,246.63,208618.071
2555,208+620,2614655.6444,1266845.6984,246.669,208620.0
2557,208+623,2614656.5783,1266842.8475,246.73,208623.0
2559,208+626,2614657.5016,1266839.9931,246.792,208626.0
2561,208+629,2614658.4143,1266837.1353,246.855,208629.0
2563,208+632,2614659.3165,1266834.2742,246.92,208632.0
2565,208+635,2614660.2081,1266831.4097,246.985,208635.0
2567,208+638,2614661.089,1266828.542,247.052,208638.0
2569,208+641,2614661.9593,1266825.671,247.119,208641.0
2571,208+644,2614662.819,1266822.7968,247.188,208644.0
2573,208+647,2614663.668,1266819.9195,247.258,208647.0
2575,208+650,2614664.5064,1266817.039,247.328,208650.0
2577,208+653,2614665.3341,1266814.1554,247.4,208653.0
2579,208+656,2614666.1511,1266811.2688,247.473,208656.0
2581,208+659,2614666.9574,1266808.3792,247.547,208659.0
2583,208+662,2614667.753,1266805.4866,247.622,208662.0
2585,208+665,2614668.5379,1266802.5911,247.698,208665.0
2587,208+668,2614669.312,1266799.6927,247.775,208668.0
2589,208+671,2614670.0754,1266796.7915,247.853,208671.0
2591,208+674,2614670.8281,1266793.8874,247.932,208674.0
2593,208+677,2614671.57,1266790.9806,248.013,208677.0
2595,208+680,2614672.3011,1266788.0711,248.094,208680.0
2597,208+683,2614673.0215,1266785.1589,248.176,208683.0
2599,208+686,2614673.731,1266782.244,248.26,208686.0
2601,208+689,2614674.4298,1266779.3265,248.344,208689.0
2603,208+692,2614675.1177,1266776.4064,248.43,208692.0
2605,208+695,2614675.7949,1266773.4839,248.517,208695.0
2607,208+698,2614676.4612,1266770.5588,248.604,208698.0
2609,208+701,2614677.1166,1266767.6313,248.693,208701.0
2611,208+704,2614677.7612,1266764.7013,248.783,208704.0
2613,208+707,2614678.395,1266761.769,248.874,208707.0
2615,208+710,2614679.0179,1266758.8344,248.966,208710.0
2617,208+713,2614679.6299,1266755.8975,249.059,208713.0
2619,208+716,2614680.231,1266752.9584,249.153,208716.0
2621,208+719,2614680.8213,1266750.017,249.248,208719.0
2623,208+722,2614681.4006,1266747.0735,249.344,208722.0
2625,208+725,2614681.9691,1266744.1278,249.441,208725.0
2627,208+728,2614682.5266,1266741.1801,249.54,208728.0
2629,208+731,2614683.0732,1266738.2303,249.639,208731.0
2631,208+734,2614683.6089,1266735.2785,249.74,208734.0
2633,208+737,2614684.1336,1266732.3248,249.841,208737.0
2635,208+740,2614684.6474,1266729.3691,249.944,208740.0
2637,208+743,2614685.1503,1266726.4115,250.047,208743.0
2639,208+746,2614685.6422,1266723.4521,250.152,208746.0
2641,208+749,2614686.1231,1266720.4909,250.258,208749.0
2643,208+752,2614686.593,1266717.528,250.364,208752.0
2645,208+755,2614687.052,1266714.5633,250.472,208755.0
2647,208+758,2614687.5,1266711.5969,250.581,208758.0
2649,208+761,2614687.937,1266708.6289,250.691,208761.0
2651,208+764,2614688.363,1266705.6594,250.802,208764.0
2653,208+767,2614688.778,1266702.6882,250.914,208767.0
2655,208+770,2614689.182,1266699.7155,251.027,208770.0
2657,208+773,2614689.575,1266696.7414,251.142,208773.0
2659,208+776,2614689.957,1266693.7658,251.257,208776.0
2661,208+779,2614690.328,1266690.7888,251.373,208779.0
2663,208+782,2614690.6879,1266687.8105,251.491,208782.0
2665,208+785,2614691.0368,1266684.8309,251.609,208785.0
2667,208+788,2614691.3746,1266681.8499,251.729,208788.0
2669,208+791,2614691.7014,1266678.8678,251.849,208791.0
2671,208+794,2614692.0172,1266675.8845,251.971,208794.0
2673,208+797,2614692.3219,1266672.9,252.093,208797.0
2675,208+800,2614692.6155,1266669.9144,252.217,208800.0
2677,208+803,2614692.8981,1266666.9277,252.342,208803.0
2679,208+806,2614693.1697,1266663.94,252.468,208806.0
2681,208+809,2614693.4301,1266660.9514,252.595,208809.0
2683,208+812,2614693.6795,1266657.9618,252.723,208812.0
2685,208+815,2614693.9178,1266654.9712,252.852,208815.0
2687,208+818,2614694.1451,1266651.9799,252.982,208818.0
2689,208+821,2614694.3612,1266648.9877,253.113,208821.0
2691,208+824,2614694.5663,1266645.9947,253.245,208824.0
2693,208+827,2614694.7603,1266643.001,253.379,208827.0
2695,208+830,2614694.9432,1266640.0065,253.513,208830.0
2697,208+833,2614695.115,1266637.0115,253.648,208833.0
2699,208+836,2614695.2757,1266634.0158,253.785,208836.0
2701,208+839,2614695.4253,1266631.0195,253.922,208839.0
2703,208+842,2614695.5638,1266628.0227,254.061,208842.0
2705,208+845,2614695.6912,1266625.0254,254.201,208845.0
2707,208+848,2614695.8076,1266622.0277,254.341,208848.0
2709,208+851,2614695.9128,1266619.0295,254.483,208851.0
2711,208+854,2614696.0069,1266616.031,254.626,208854.0
2713,208+857,2614696.0899,1266613.0321,254.77,208857.0
2715,208+860,2614696.1618,1266610.033,254.915,208860.0
2717,208+860.037,2614696.1626,1266609.996,254.917,208860.037
2719,208+863,2614696.2226,1266607.0336,255.06,208863.0
2721,208+866,2614696.2722,1266604.034,255.206,208866.0
2723,208+869,2614696.3108,1266601.0343,255.351,208869.0
2725,208+872,2614696.3383,1266598.0344,255.497,208872.0
2727,208+875,2614696.3546,1266595.0345,255.642,208875.0
2729,208+878,2614696.3598,1266592.0345,255.788,208878.0
2731,208+881,2614696.354,1266589.0345,255.933,208881.0
2733,208+884,2614696.337,1266586.0345,256.079,208884.0
2735,208+884.07,2614696.3364,1266585.9648,256.082,208884.07
2737,208+887,2614696.3089,1266583.0347,256.224,208887.0
2739,208+890,2614696.27,1266580.035,256.37,208890.0
2741,208+893,2614696.2207,1266577.0354,256.515,208893.0
2743,208+896,2614696.1611,1266574.036,256.661,208896.0
2745,208+899,2614696.0915,1266571.0368,256.806,208899.0
2747,208+902,2614696.0124,1266568.0378,256.952,208902.0
2749,208+905,2614695.924,1266565.0391,257.097,208905.0
2751,208+908,2614695.8265,1266562.0407,257.243,208908.0
2753,208+911,2614695.7203,1266559.0426,257.388,208911.0
2755,208+914,2614695.6057,1266556.0448,257.534,208914.0
2757,208+917,2614695.483,1266553.0473,257.679,208917.0
2759,208+920,2614695.3525,1266550.0501,257.825,208920.0
2761,208+923,2614695.2145,1266547.0533,257.97,208923.0
2763,208+926,2614695.0693,1266544.0568,258.116,208926.0
2765,208+929,2614694.9171,1266541.0607,258.261,208929.0
2767,208+932,2614694.7584,1266538.0649,258.407,208932.0
2769,208+935,2614694.5933,1266535.0694,258.552,208935.0
2771,208+938,2614694.4223,1266532.0743,258.698,208938.0
2773,208+941,2614694.2455,1266529.0795,258.843,208941.0
2775,208+944,2614694.0633,1266526.0851,258.989,208944.0
2777,208+947,2614693.876,1266523.0909,259.134,208947.0
2779,208+950,2614693.6839,1266520.0971,259.28,208950.0
2781,208+953,2614693.4873,1266517.1035,259.425,208953.0
2783,208+956,2614693.2865,1266514.1103,259.571,208956.0
2785,208+959,2614693.0817,1266511.1173,259.716,208959.0
2787,208+959.181,2614693.0693,1266510.9369,259.725,208959.181
2789,208+962,2614692.8734,1266508.1245,259.862,208962.0
2791,208+965,2614692.6614,1266505.132,260.007,208965.0
2793,208+968,2614692.4458,1266502.1398,260.153,208968.0
2795,208+971,2614692.2267,1266499.1478,260.298,208971.0
2797,208+974,2614692.0039,1266496.1561,260.444,208974.0
2799,208+977,2614691.7776,1266493.1646,260.589,208977.0
2801,208+980,2614691.5477,1266490.1734,260.735,208980.0
2803,208+983,2614691.3142,1266487.1825,260.88,208983.0
2805,208+986,2614691.0771,1266484.1919,261.026,208986.0
2807,208+989,2614690.8364,1266481.2016,261.171,208989.0
2809,208+992,2614690.5921,1266478.2115,261.317,208992.0
2811,208+995,2614690.3443,1266475.2218,261.462,208995.0
2813,208+998,2614690.0928,1266472.2324,261.608,208998.0
2815,209+001,2614689.8378,1266469.2432,261.753,209001.0
2817,209+004,2614689.5791,1266466.2544,261.899,209004.0
2819,209+007,2614689.3169,1266463.2659,262.044,209007.0
2821,209+010,2614689.0511,1266460.2777,262.19,209010.0
2823,209+013,2614688.7817,1266457.2898,262.335,209013.0
2825,209+014.47,2614688.6484,1266455.8256,262.407,209014.47
2827,209+016,2614688.5088,1266454.3022,262.481,209016.0
2829,209+019,2614688.2321,1266451.315,262.626,209019.0
2831,209+022,2614687.9516,1266448.3282,262.772,209022.0
2833,209+025,2614687.6672,1266445.3417,262.917,209025.0
