,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass,Area1,Area2,Distance,Area1_mean_dist,Area2_mean_dist
109,2612321.6723,1269219.5034,264.754,260.0022,236.142857143,-28.6111428571,BC1,100.0,100.0,3.00490115133,300.490115133,300.490115133
110,2612323.2505,1269216.9521,264.582,260.0022,236.142857143,-28.4391428571,BC1,100.0,100.0,3.00497141425,300.497141425,300.497141425
111,2612324.8057,1269214.3867,264.409,259.1537,236.142857143,-28.2661428571,BC1,100.0,100.0,3.0049391875,300.49391875,300.49391875
112,2612326.3393,1269211.8083,264.237,262.4988,236.142857143,-28.0941428571,BC1,100.0,100.0,6.00982486017,600.982486017,600.982486017
113,2612329.347,1269206.6167,263.892,260.7979,236.142857143,-27.7491428571,BC1,100.0,100.0,3.0050042097,300.50042097,300.50042097
114,2612330.8239,1269204.0054,263.719,261.9851,236.142857143,-27.5761428571,BC1,100.0,100.0,3.00491143449,300.491143449,300.491143449
115,2612332.2847,1269201.3851,263.547,261.9851,236.142857143,-27.4041428571,BC1,100.0,100.0,3.00502020959,300.502020959,300.502020959
116,2612333.7308,1269198.7566,263.374,260.7999,236.142857143,-27.2311428571,BC1,100.0,100.0,3.00489838932,300.489838932,300.489838932
117,2612335.1636,1269196.1209,263.202,261.6352,236.142857143,-27.0591428571,BC1,100.0,100.0,3.00497294672,300.497294672,300.497294672
118,2612336.5846,1269193.4788,263.029,260.9614,236.0,-27.029,BC1,100.0,100.0,3.0049033678,300.49033678,300.49033678
119,2612337.9953,1269190.8312,262.857,260.9614,236.0,-26.857,BC1,100.0,100.0,3.00494052022,300.494052022,300.494052022
120,2612339.3971,1269188.1789,262.684,259.6133,236.0,-26.684,BC1,100.0,100.0,3.00501979018,300.501979018,300.501979018
121,2612340.7916,1269185.5226,262.512,261.6351,236.0,-26.512,BC1,100.0,100.0,3.00495220251,300.495220251,300.495220251
122,2612342.1801,1269182.8633,262.339,260.0558,236.184706317,-26.154293683,BC1,100.0,100.0,3.00494728748,300.494728748,300.494728748
123,2612343.5643,1269180.2017,262.167,260.0558,236.184706317,-25.982293683,BC1,100.0,100.0,2.62343229568,262.343229568,262.343229568
124,2612344.7703,1269177.8768,262.016,258.8072,236.184706317,-25.831293683,BC1,100.0,100.0,0.381531977634,38.1531977634,38.1531977634
125,2612344.9482,1269177.54,261.994,258.8072,236.184706317,-25.809293683,BC1,100.0,100.0,3.00493481641,300.493481641,300.493481641
126,2612346.3503,1269174.8878,261.822,260.3187,236.184706317,-25.637293683,BC1,100.0,100.0,3.00494498773,300.494498773,300.494498773
127,2612347.754,1269172.2365,261.649,260.3187,236.2,-25.449,BC1,100.0,100.0,3.00492967313,300.492967313,300.492967313
