,Easting,Northing,Elevation,DTM,Rocksurface,delta_rocksurface_tunnelaxis,BoreClass
99,2612306.3162,1269241.7042,266.307,254.9908,236.0,-30.307,BC1
100,2612308.1301,1269239.3147,266.134,256.2147,236.0,-30.134,BC1
101,2612309.9163,1269236.9044,265.962,256.2147,236.0,-29.962,BC1
102,2612311.6745,1269234.4737,265.789,257.0247,236.0,-29.789,BC1
103,2612313.4046,1269232.0228,265.617,257.0247,236.0,-29.617,BC1
104,2612315.1063,1269229.5521,265.444,257.9974,236.0,-29.444,BC1
105,2612315.865,1269228.4306,265.367,257.9974,236.0,-29.367,BC1
106,2612316.787,1269227.0617,265.272,257.9974,236.0,-29.272,BC1
107,2612318.4418,1269224.5594,265.099,258.122,236.0,-29.099,BC1
108,2612320.0698,1269222.0395,264.927,258.7224,236.0,-28.927,BC1
109,2612321.6723,1269219.5034,264.754,260.0022,236.142857143,-28.6111428571,BC1
110,2612323.2505,1269216.9521,264.582,260.0022,236.142857143,-28.4391428571,BC1
111,2612324.8057,1269214.3867,264.409,259.1537,236.142857143,-28.2661428571,BC1
112,2612326.3393,1269211.8083,264.237,262.4988,236.142857143,-28.0941428571,BC1
113,2612329.347,1269206.6167,263.892,260.7979,236.142857143,-27.7491428571,BC1
114,2612330.8239,1269204.0054,263.719,261.9851,236.142857143,-27.5761428571,BC1
115,2612332.2847,1269201.3851,263.547,261.9851,236.142857143,-27.4041428571,BC1
116,2612333.7308,1269198.7566,263.374,260.7999,236.142857143,-27.2311428571,BC1
117,2612335.1636,1269196.1209,263.202,261.6352,236.142857143,-27.0591428571,BC1
118,2612336.5846,1269193.4788,263.029,260.9614,236.0,-27.029,BC1
119,2612337.9953,1269190.8312,262.857,260.9614,236.0,-26.857,BC1
120,2612339.3971,1269188.1789,262.684,259.6133,236.0,-26.684,BC1
121,2612340.7916,1269185.5226,262.512,261.6351,236.0,-26.512,BC1
122,2612342.1801,1269182.8633,262.339,260.0558,236.184706317,-26.154293683,BC1
123,2612343.5643,1269180.2017,262.167,260.0558,236.184706317,-25.982293683,BC1
124,2612344.7703,1269177.8768,262.016,258.8072,236.184706317,-25.831293683,BC1
125,2612344.9482,1269177.54,261.994,258.8072,236.184706317,-25.809293683,BC1
126,2612346.3503,1269174.8878,261.822,260.3187,236.184706317,-25.637293683,BC1
127,2612347.754,1269172.2365,261.649,260.3187,236.2,-25.449,BC1
128,2612349.1593,1269169.586,261.477,258.8674,236.2,-25.277,BC1
129,2612349.2826,1269169.3536,261.462,258.8674,236.2,-25.262,BC1
130,2612350.5662,1269166.9364,261.305,261.3065,236.2,-25.105,BC1
131,2612351.9747,1269164.2875,261.133,260.7338,236.2,-24.933,BC1
132,2612353.3848,1269161.6396,260.962,260.7338,236.2,-24.762,BC1
