,Station,Easting,Northing,Elevation,easting,northing,DTM
601,206+628,2613072.2289,1267976.9059,208.433,2613072.2289,1267976.9059,262.8047
602,206+631,2613074.4219,1267974.8588,208.415,2613074.4219,1267974.8588,262.7826
603,206+634,2613076.6223,1267972.8196,208.397,2613076.6223,1267972.8196,262.7647
604,206+637,2613078.8301,1267970.7884,208.38,2613078.8301,1267970.7884,262.7647
605,206+640,2613081.0451,1267968.7651,208.364,2613081.0451,1267968.7651,262.7911
606,206+643,2613083.2675,1267966.7499,208.348,2613083.2675,1267966.7499,262.7911
607,206+643.615,2613083.7237,1267966.338,208.345,2613083.7237,1267966.338,262.7911
608,206+646,2613085.4971,1267964.7427,208.333,2613085.4971,1267964.7427,262.8169
609,206+649,2613087.734,1267962.7436,208.319,2613087.734,1267962.7436,262.8169
610,206+652,2613089.9781,1267960.7526,208.304,2613089.9781,1267960.7526,262.8169
611,206+655,2613092.2293,1267958.7698,208.289,2613092.2293,1267958.7698,262.8448
612,206+658,2613094.4878,1267956.795,208.274,2613094.4878,1267956.795,262.8448
613,206+661,2613096.7533,1267954.8285,208.259,2613096.7533,1267954.8285,262.746
614,206+664,2613099.0259,1267952.8701,208.244,2613099.0259,1267952.8701,262.746
615,206+667,2613101.3056,1267950.92,208.229,2613101.3056,1267950.92,262.921
616,206+670,2613103.5924,1267948.9782,208.214,2613103.5924,1267948.9782,262.7625
617,206+673,2613105.8861,1267947.0446,208.199,2613105.8861,1267947.0446,262.8985
618,206+676,2613108.1868,1267945.1193,208.184,2613108.1868,1267945.1193,262.8985
619,206+679,2613110.4945,1267943.2023,208.169,2613110.4945,1267943.2023,263.0583
620,206+682,2613112.809,1267941.2937,208.154,2613112.809,1267941.2937,263.0583
621,206+685,2613115.1305,1267939.3935,208.139,2613115.1305,1267939.3935,262.9003
622,206+688,2613117.4588,1267937.5017,208.124,2613117.4588,1267937.5017,262.9003
623,206+691,2613119.7939,1267935.6183,208.109,2613119.7939,1267935.6183,262.9003
624,206+694,2613122.1358,1267933.7433,208.094,2613122.1358,1267933.7433,262.8951
625,206+697,2613124.4845,1267931.8769,208.079,2613124.4845,1267931.8769,262.8951
626,206+700,2613126.8399,1267930.0189,208.064,2613126.8399,1267930.0189,262.5272
627,206+703,2613129.202,1267928.1695,208.049,2613129.202,1267928.1695,262.5704
628,206+706,2613131.5708,1267926.3286,208.034,2613131.5708,1267926.3286,262.3905
629,206+709,2613133.9462,1267924.4963,208.019,2613133.9462,1267924.4963,262.6363
630,206+712,2613136.3282,1267922.6725,208.004,2613136.3282,1267922.6725,261.8797
631,206+715,2613138.7169,1267920.8574,207.989,2613138.7169,1267920.8574,261.8797
632,206+718,2613141.112,1267919.051,207.974,,,
633,206+721,2613143.5137,1267917.2532,207.959,2613143.5137,1267917.2532,261.1158
634,206+724,2613145.9218,1267915.4641,207.944,2613145.9218,1267915.4641,258.9587
635,206+727,2613148.3364,1267913.6837,207.929,2613148.3364,1267913.6837,260.9368
636,206+730,2613150.7574,1267911.9121,207.914,2613150.7574,1267911.9121,258.2578
637,206+733,2613153.1848,1267910.1492,207.899,2613153.1848,1267910.1492,258.2578
638,206+736,2613155.6186,1267908.3952,207.884,2613155.6186,1267908.3952,257.9923
639,206+739,2613158.0586,1267906.6499,207.869,2613158.0586,1267906.6499,257.9923
640,206+742,2613160.505,1267904.9134,207.854,2613160.505,1267904.9134,257.8036
641,206+745,2613162.9576,1267903.1858,207.839,2613162.9576,1267903.1858,257.8036
642,206+748,2613165.4165,1267901.4671,207.824,2613165.4165,1267901.4671,257.7863
643,206+751,2613167.8816,1267899.7573,207.809,2613167.8816,1267899.7573,257.7454
644,206+754,2613170.3528,1267898.0564,207.794,2613170.3528,1267898.0564,257.8284
645,206+757,2613172.8301,1267896.3644,207.779,2613172.8301,1267896.3644,257.8284
646,206+760,2613175.3136,1267894.6815,207.764,2613175.3136,1267894.6815,257.8825
647,206+763,2613177.8031,1267893.0075,207.749,2613177.8031,1267893.0075,257.8825
648,206+766,2613180.2987,1267891.3425,207.734,2613180.2987,1267891.3425,257.89
649,206+769,2613182.8002,1267889.6865,207.719,2613182.8002,1267889.6865,257.8768
650,206+772,2613185.3077,1267888.0396,207.705,2613185.3077,1267888.0396,257.9996
651,206+775,2613187.8212,1267886.4018,207.69,2613187.8212,1267886.4018,257.9996
652,206+778,2613190.3406,1267884.773,207.675,2613190.3406,1267884.773,257.92
653,206+781,2613192.8658,1267883.1534,207.66,2613192.8658,1267883.1534,257.92
654,206+784,2613195.3969,1267881.5429,207.645,2613195.3969,1267881.5429,258.169
655,206+785.027,2613196.2644,1267880.9939,207.639,2613196.2644,1267880.9939,258.169
656,206+787,2613197.9341,1267879.9414,207.63,2613197.9341,1267879.9414,258.1832
657,206+790,2613200.4766,1267878.3491,207.615,2613200.4766,1267878.3491,258.2271
658,206+793,2613203.0247,1267876.7657,207.6,2613203.0247,1267876.7657,258.2271
659,206+796,2613205.5783,1267875.1911,207.585,2613205.5783,1267875.1911,258.2544
660,206+799,2613208.137,1267873.6249,207.57,2613208.137,1267873.6249,258.4418
661,206+802,2613210.7009,1267872.0672,207.555,2613210.7009,1267872.0672,258.4499
662,206+805,2613213.2697,1267870.5177,207.54,2613213.2697,1267870.5177,258.4499
663,206+805.402,2613213.6143,1267870.3107,207.538,2613213.6143,1267870.3107,258.4499
664,206+808,2613215.8434,1267868.9762,207.525,2613215.8434,1267868.9762,258.3028
665,206+811,2613218.4218,1267867.4426,207.511,2613218.4218,1267867.4426,258.3028
666,206+814,2613221.0047,1267865.9166,207.497,2613221.0047,1267865.9166,258.3728
667,206+817,2613223.5921,1267864.3982,207.484,2613223.5921,1267864.3982,258.4262
668,206+820,2613226.1837,1267862.8871,207.472,2613226.1837,1267862.8871,258.2936
669,206+823,2613228.7795,1267861.3831,207.46,2613228.7795,1267861.3831,258.2936
670,206+826,2613231.3793,1267859.8862,207.449,2613231.3793,1267859.8862,258.2683
671,206+829,2613233.983,1267858.396,207.439,2613233.983,1267858.396,258.2683
672,206+832,2613236.5905,1267856.9124,207.429,2613236.5905,1267856.9124,258.4685
673,206+835,2613239.2017,1267855.4353,207.419,2613239.2017,1267855.4353,258.4685
674,206+838,2613241.8163,1267853.9644,207.41,2613241.8163,1267853.9644,258.0211
675,206+841,2613244.4344,1267852.4996,207.402,2613244.4344,1267852.4996,258.0211
676,206+844,2613247.0557,1267851.0406,207.395,2613247.0557,1267851.0406,258.105
677,206+847,2613249.6802,1267849.5874,207.388,2613249.6802,1267849.5874,258.0523
678,206+850,2613252.3078,1267848.1396,207.382,2613252.3078,1267848.1396,258.0827
679,206+853,2613254.9383,1267846.6972,207.376,2613254.9383,1267846.6972,258.0827
680,206+856,2613257.5715,1267845.2599,207.371,2613257.5715,1267845.2599,258.3826
681,206+859,2613260.2075,1267843.8275,207.366,2613260.2075,1267843.8275,258.0776
682,206+862,2613262.8461,1267842.3999,207.362,2613262.8461,1267842.3999,258.0776
683,206+865,2613265.4871,1267840.9769,207.359,2613265.4871,1267840.9769,259.8011
684,206+868,2613268.1304,1267839.5582,207.356,2613268.1304,1267839.5582,258.9315
685,206+871,2613270.7761,1267838.1437,207.354,2613270.7761,1267838.1437,259.8292
686,206+874,2613273.4238,1267836.7332,207.352,2613273.4238,1267836.7332,259.8292
687,206+877,2613276.0736,1267835.3266,207.351,2613276.0736,1267835.3266,259.8994
688,206+880,2613278.7252,1267833.9235,207.351,2613278.7252,1267833.9235,259.8751
689,206+883,2613281.3787,1267832.5238,207.351,2613281.3787,1267832.5238,259.8802
690,206+886,2613284.0339,1267831.1274,207.352,2613284.0339,1267831.1274,259.8802
691,206+889,2613286.6907,1267829.734,207.354,,,
692,206+892,2613289.3489,1267828.3434,207.356,2613289.3489,1267828.3434,259.7826
693,206+895,2613292.0086,1267826.9555,207.358,2613292.0086,1267826.9555,259.843
694,206+898,2613294.6695,1267825.5701,207.362,2613294.6695,1267825.5701,259.843
695,206+901,2613297.3316,1267824.1869,207.366,2613297.3316,1267824.1869,259.1831
696,206+904,2613299.9947,1267822.8057,207.37,2613299.9947,1267822.8057,259.1831
697,206+907,2613302.6589,1267821.4264,207.375,2613302.6589,1267821.4264,259.7793
698,206+910,2613305.3239,1267820.0488,207.381,2613305.3239,1267820.0488,259.7239
699,206+913,2613307.9896,1267818.6727,207.387,2613307.9896,1267818.6727,259.7414
700,206+916,2613310.656,1267817.2979,207.394,2613310.656,1267817.2979,259.8027
701,206+919,2613313.323,1267815.9241,207.401,,,
702,206+922,2613315.9905,1267814.5512,207.409,2613315.9905,1267814.5512,259.5131
703,206+925,2613318.6583,1267813.179,207.418,2613318.6583,1267813.179,259.5131
704,206+928,2613321.3263,1267811.8074,207.427,2613321.3263,1267811.8074,258.9171
705,206+931,2613323.9945,1267810.436,207.437,2613323.9945,1267810.436,258.9171
706,206+932.617,2613325.4324,1267809.697,207.443,2613325.4324,1267809.697,258.8519
707,206+934,2613326.6628,1267809.0647,207.448,2613326.6628,1267809.0647,258.8519
708,206+937,2613329.331,1267807.6934,207.459,2613329.331,1267807.6934,258.8519
709,206+940,2613331.9993,1267806.3222,207.47,2613331.9993,1267806.3222,258.9613
710,206+943,2613334.6676,1267804.9509,207.483,2613334.6676,1267804.9509,259.078
711,206+946,2613337.3358,1267803.5796,207.496,2613337.3358,1267803.5796,259.3083
712,206+949,2613340.0041,1267802.2084,207.509,2613340.0041,1267802.2084,259.1869
713,206+952,2613342.6723,1267800.8371,207.523,2613342.6723,1267800.8371,259.1869
714,206+955,2613345.3406,1267799.4658,207.538,2613345.3406,1267799.4658,259.0588
715,206+958,2613348.0089,1267798.0946,207.553,2613348.0089,1267798.0946,259.0588
716,206+961,2613350.6771,1267796.7233,207.569,2613350.6771,1267796.7233,259.1325
717,206+964,2613353.3454,1267795.352,207.585,2613353.3454,1267795.352,259.1325
718,206+967,2613356.0137,1267793.9808,207.603,2613356.0137,1267793.9808,259.1495
719,206+970,2613358.6819,1267792.6095,207.62,2613358.6819,1267792.6095,259.1495
720,206+973,2613361.3502,1267791.2382,207.638,2613361.3502,1267791.2382,259.1824
721,206+976,2613364.0184,1267789.8669,207.657,2613364.0184,1267789.8669,259.4056
722,206+979,2613366.6867,1267788.4957,207.677,2613366.6867,1267788.4957,259.7665
723,206+982,2613369.355,1267787.1244,207.697,2613369.355,1267787.1244,259.7665
724,206+985,2613372.0232,1267785.7531,207.718,2613372.0232,1267785.7531,259.7296
725,206+988,2613374.6915,1267784.3819,207.739,2613374.6915,1267784.3819,259.7695
726,206+991,2613377.3598,1267783.0106,207.761,2613377.3598,1267783.0106,259.6274
727,206+994,2613380.028,1267781.6393,207.783,2613380.028,1267781.6393,259.6855
728,206+997,2613382.6963,1267780.2681,207.806,2613382.6963,1267780.2681,259.6855
729,207+000,2613385.3645,1267778.8968,207.83,2613385.3645,1267778.8968,259.9187
730,207+003,2613388.0328,1267777.5255,207.854,2613388.0328,1267777.5255,259.9187
731,207+006,2613390.7011,1267776.1543,207.879,2613390.7011,1267776.1543,260.0566
732,207+009,2613393.3693,1267774.783,207.905,2613393.3693,1267774.783,260.0258
733,207+012,2613396.0376,1267773.4117,207.931,2613396.0376,1267773.4117,260.0502
734,207+015,2613398.7059,1267772.0405,207.957,2613398.7059,1267772.0405,260.0502
735,207+018,2613401.3741,1267770.6692,207.985,2613401.3741,1267770.6692,259.9373
736,207+021,2613404.0424,1267769.2979,208.013,2613404.0424,1267769.2979,257.8363
737,207+024,2613406.7106,1267767.9267,208.041,2613406.7106,1267767.9267,257.3291
738,207+027,2613409.3789,1267766.5554,208.07,2613409.3789,1267766.5554,257.3291
739,207+030,2613412.0472,1267765.1841,208.1,2613412.0472,1267765.1841,257.3417
740,207+033,2613414.7154,1267763.8129,208.13,2613414.7154,1267763.8129,259.0408
741,207+036,2613417.3837,1267762.4416,208.161,2613417.3837,1267762.4416,260.0309
742,207+039,2613420.052,1267761.0703,208.193,,,
743,207+042,2613422.7202,1267759.6991,208.225,2613422.7202,1267759.6991,260.3375
744,207+045,2613425.3885,1267758.3278,208.257,2613425.3885,1267758.3278,260.4947
745,207+048,2613428.0567,1267756.9565,208.291,2613428.0567,1267756.9565,260.4947
746,207+051,2613430.725,1267755.5853,208.325,2613430.725,1267755.5853,260.6397
747,207+054,2613433.3933,1267754.214,208.359,,,
748,207+057,2613436.0615,1267752.8427,208.394,2613436.0615,1267752.8427,260.84
749,207+060,2613438.7298,1267751.4715,208.43,2613438.7298,1267751.4715,260.84
750,207+063,2613441.3981,1267750.1002,208.466,2613441.3981,1267750.1002,260.5812
751,207+066,2613444.0663,1267748.7289,208.503,2613444.0663,1267748.7289,260.9209
752,207+069,2613446.7346,1267747.3576,208.541,2613446.7346,1267747.3576,260.5342
753,207+072,2613449.4028,1267745.9864,208.579,2613449.4028,1267745.9864,260.5342
754,207+075,2613452.0711,1267744.6151,208.617,2613452.0711,1267744.6151,260.3939
755,207+078,2613454.7394,1267743.2438,208.657,2613454.7394,1267743.2438,260.3939
756,207+081,2613457.4076,1267741.8726,208.697,2613457.4076,1267741.8726,259.9536
757,207+084,2613460.0759,1267740.5013,208.737,2613460.0759,1267740.5013,259.9533
758,207+087,2613462.7442,1267739.13,208.778,2613462.7442,1267739.13,260.16
759,207+090,2613465.4124,1267737.7588,208.82,2613465.4124,1267737.7588,260.7455
760,207+093,2613468.0807,1267736.3875,208.862,2613468.0807,1267736.3875,260.7455
761,207+096,2613470.7489,1267735.0162,208.905,2613470.7489,1267735.0162,260.5913
762,207+099,2613473.4172,1267733.645,208.949,2613473.4172,1267733.645,260.8447
763,207+102,2613476.0855,1267732.2737,208.993,2613476.0855,1267732.2737,260.8951
764,207+105,2613478.7537,1267730.9024,209.038,2613478.7537,1267730.9024,260.8951
765,207+108,2613481.422,1267729.5312,209.083,2613481.422,1267729.5312,260.9416
766,207+111,2613484.0903,1267728.1599,209.129,2613484.0903,1267728.1599,260.9416
767,207+114,2613486.7585,1267726.7886,209.175,2613486.7585,1267726.7886,260.9496
768,207+117,2613489.4268,1267725.4174,209.222,2613489.4268,1267725.4174,260.9496
769,207+120,2613492.095,1267724.0461,209.27,2613492.095,1267724.0461,260.7142
770,207+123,2613494.7633,1267722.6748,209.318,2613494.7633,1267722.6748,260.7142
771,207+126,2613497.4316,1267721.3036,209.367,2613497.4316,1267721.3036,260.7149
772,207+129,2613500.0998,1267719.9323,209.417,2613500.0998,1267719.9323,259.1596
773,207+132,2613502.7681,1267718.561,209.467,2613502.7681,1267718.561,259.1596
774,207+135,2613505.4364,1267717.1898,209.518,2613505.4364,1267717.1898,257.8479
775,207+138,2613508.1046,1267715.8185,209.569,2613508.1046,1267715.8185,257.8479
776,207+141,2613510.7729,1267714.4472,209.621,2613510.7729,1267714.4472,256.2224
777,207+144,2613513.4411,1267713.076,209.673,2613513.4411,1267713.076,256.2224
778,207+147,2613516.1094,1267711.7047,209.727,2613516.1094,1267711.7047,255.9959
779,207+150,2613518.7777,1267710.3334,209.78,2613518.7777,1267710.3334,255.9959
780,207+153,2613521.4459,1267708.9622,209.835,2613521.4459,1267708.9622,252.7621
781,207+156,2613524.1142,1267707.5909,209.89,2613524.1142,1267707.5909,252.7621
782,207+159,2613526.7825,1267706.2196,209.945,2613526.7825,1267706.2196,251.4224
783,207+162,2613529.4507,1267704.8483,210.001,2613529.4507,1267704.8483,248.1268
784,207+165,2613532.119,1267703.4771,210.058,2613532.119,1267703.4771,247.0887
785,207+165.384,2613532.4608,1267703.3014,210.065,2613532.4608,1267703.3014,247.0887
786,207+168,2613534.7872,1267702.1058,210.115,2613534.7872,1267702.1058,247.0887
787,207+171,2613537.4555,1267700.7345,210.172,2613537.4555,1267700.7345,246.8339
788,207+174,2613540.1238,1267699.3633,210.229,2613540.1238,1267699.3633,245.8214
789,207+177,2613542.792,1267697.992,210.286,2613542.792,1267697.992,245.8214
790,207+180,2613545.4603,1267696.6207,210.343,2613545.4603,1267696.6207,245.6581
791,207+183,2613548.1286,1267695.2495,210.4,2613548.1286,1267695.2495,245.6581
792,207+186,2613550.7968,1267693.8782,210.458,2613550.7968,1267693.8782,245.859
793,207+189,2613553.4651,1267692.5069,210.515,2613553.4651,1267692.5069,245.859
794,207+192,2613556.1333,1267691.1357,210.572,2613556.1333,1267691.1357,245.804
795,207+195,2613558.8016,1267689.7644,210.629,2613558.8016,1267689.7644,245.7762
796,207+198,2613561.4699,1267688.3931,210.686,2613561.4699,1267688.3931,245.8851
797,207+201,2613564.1381,1267687.0219,210.743,2613564.1381,1267687.0219,245.8851
798,207+204,2613566.8064,1267685.6506,210.8,2613566.8064,1267685.6506,245.8426
799,207+207,2613569.4747,1267684.2793,210.857,2613569.4747,1267684.2793,245.8617
800,207+210,2613572.1429,1267682.9081,210.914,2613572.1429,1267682.9081,245.8419
801,207+213,2613574.8112,1267681.5368,210.972,2613574.8112,1267681.5368,245.8419
802,207+216,2613577.4794,1267680.1655,211.029,2613577.4794,1267680.1655,245.8409
803,207+219,2613580.1477,1267678.7943,211.086,2613580.1477,1267678.7943,245.6877
804,207+222,2613582.816,1267677.423,211.143,2613582.816,1267677.423,245.6877
805,207+225,2613585.4842,1267676.0517,211.2,2613585.4842,1267676.0517,245.8562
806,207+228,2613588.1525,1267674.6805,211.257,2613588.1525,1267674.6805,245.7636
807,207+231,2613590.8208,1267673.3092,211.314,2613590.8208,1267673.3092,245.7682
808,207+234,2613593.489,1267671.9379,211.371,2613593.489,1267671.9379,245.7682
809,207+237,2613596.1573,1267670.5667,211.428,2613596.1573,1267670.5667,245.8048
810,207+240,2613598.8255,1267669.1954,211.485,2613598.8255,1267669.1954,245.7209
811,207+243,2613601.4938,1267667.8241,211.543,2613601.4938,1267667.8241,245.6301
812,207+246,2613604.1621,1267666.4529,211.6,2613604.1621,1267666.4529,245.6301
813,207+249,2613606.8303,1267665.0816,211.657,2613606.8303,1267665.0816,245.6932
814,207+252,2613609.4986,1267663.7103,211.714,2613609.4986,1267663.7103,245.5981
815,207+255,2613612.1669,1267662.339,211.771,,,
816,207+258,2613614.8351,1267660.9678,211.828,2613614.8351,1267660.9678,245.6458
817,207+261,2613617.5034,1267659.5965,211.885,2613617.5034,1267659.5965,245.5541
818,207+264,2613620.1716,1267658.2252,211.942,2613620.1716,1267658.2252,245.6207
819,207+267,2613622.8399,1267656.854,211.999,2613622.8399,1267656.854,245.6207
820,207+270,2613625.5082,1267655.4827,212.056,2613625.5082,1267655.4827,245.6283
821,207+273,2613628.1764,1267654.1114,212.114,2613628.1764,1267654.1114,245.5632
822,207+276,2613630.8447,1267652.7402,212.171,2613630.8447,1267652.7402,245.5909
823,207+279,2613633.513,1267651.3689,212.228,,,
824,207+282,2613636.1812,1267649.9976,212.285,2613636.1812,1267649.9976,245.5251
825,207+285,2613638.8495,1267648.6264,212.342,2613638.8495,1267648.6264,245.5251
826,207+288,2613641.5177,1267647.2551,212.399,2613641.5177,1267647.2551,245.523
827,207+291,2613644.186,1267645.8838,212.456,,,
828,207+294,2613646.8543,1267644.5126,212.513,2613646.8543,1267644.5126,245.5062
829,207+297,2613649.5225,1267643.1413,212.57,2613649.5225,1267643.1413,245.5062
830,207+300,2613652.1908,1267641.77,212.627,2613652.1908,1267641.77,245.5419
831,207+303,2613654.8591,1267640.3988,212.685,2613654.8591,1267640.3988,245.5419
832,207+306,2613657.5273,1267639.0275,212.742,2613657.5273,1267639.0275,245.4957
833,207+309,2613660.1956,1267637.6562,212.799,2613660.1956,1267637.6562,245.526
834,207+312,2613662.8638,1267636.285,212.856,2613662.8638,1267636.285,245.526
835,207+315,2613665.5321,1267634.9137,212.913,2613665.5321,1267634.9137,245.6332
836,207+318,2613668.2004,1267633.5424,212.97,2613668.2004,1267633.5424,245.6332
837,207+321,2613670.8686,1267632.1712,213.027,2613670.8686,1267632.1712,245.5117
838,207+324,2613673.5369,1267630.7999,213.084,2613673.5369,1267630.7999,245.5117
839,207+327,2613676.2052,1267629.4286,213.141,2613676.2052,1267629.4286,245.5922
840,207+330,2613678.8734,1267628.0574,213.198,2613678.8734,1267628.0574,245.5922
841,207+333,2613681.5417,1267626.6861,213.256,2613681.5417,1267626.6861,245.5987
842,207+336,2613684.2099,1267625.3148,213.313,2613684.2099,1267625.3148,245.5987
843,207+339,2613686.8782,1267623.9436,213.37,2613686.8782,1267623.9436,245.6268
844,207+342,2613689.5465,1267622.5723,213.427,2613689.5465,1267622.5723,245.6268
845,207+345,2613692.2147,1267621.201,213.484,2613692.2147,1267621.201,245.5333
846,207+348,2613694.883,1267619.8297,213.541,2613694.883,1267619.8297,245.5319
847,207+351,2613697.5513,1267618.4585,213.598,2613697.5513,1267618.4585,245.5339
848,207+354,2613700.2195,1267617.0872,213.655,2613700.2195,1267617.0872,245.5576
849,207+357,2613702.8878,1267615.7159,213.712,2613702.8878,1267615.7159,245.5576
850,207+360,2613705.556,1267614.3447,213.769,2613705.556,1267614.3447,245.5616
851,207+363,2613708.2243,1267612.9734,213.827,2613708.2243,1267612.9734,245.5616
852,207+366,2613710.8926,1267611.6021,213.884,2613710.8926,1267611.6021,245.5531
853,207+369,2613713.5608,1267610.2309,213.941,2613713.5608,1267610.2309,245.5531
854,207+372,2613716.2291,1267608.8596,213.998,2613716.2291,1267608.8596,245.5363
855,207+375,2613718.8974,1267607.4883,214.055,2613718.8974,1267607.4883,245.5363
856,207+378,2613721.5656,1267606.1171,214.112,2613721.5656,1267606.1171,245.5905
857,207+381,2613724.2339,1267604.7458,214.169,2613724.2339,1267604.7458,245.5733
858,207+384,2613726.9021,1267603.3745,214.226,2613726.9021,1267603.3745,245.5759
859,207+387,2613729.5704,1267602.0033,214.283,2613729.5704,1267602.0033,245.5759
860,207+390,2613732.2387,1267600.632,214.341,2613732.2387,1267600.632,245.5841
861,207+393,2613734.9069,1267599.2607,214.398,2613734.9069,1267599.2607,245.5446
862,207+396,2613737.5752,1267597.8895,214.455,2613737.5752,1267597.8895,245.5393
863,207+399,2613740.2435,1267596.5182,214.512,2613740.2435,1267596.5182,245.4851
864,207+402,2613742.9117,1267595.1469,214.569,2613742.9117,1267595.1469,245.4851
865,207+405,2613745.58,1267593.7757,214.626,2613745.58,1267593.7757,245.5385
866,207+408,2613748.2482,1267592.4044,214.683,2613748.2482,1267592.4044,245.5385
867,207+411,2613750.9165,1267591.0331,214.74,2613750.9165,1267591.0331,245.5881
868,207+414,2613753.5848,1267589.6619,214.797,2613753.5848,1267589.6619,245.5111
869,207+417,2613756.253,1267588.2906,214.854,2613756.253,1267588.2906,245.5799
870,207+420,2613758.9213,1267586.9193,214.912,2613758.9213,1267586.9193,245.5799
871,207+423,2613761.5896,1267585.5481,214.969,2613761.5896,1267585.5481,245.6384
872,207+426,2613764.2578,1267584.1768,215.026,2613764.2578,1267584.1768,245.6364
873,207+429,2613766.9261,1267582.8055,215.083,2613766.9261,1267582.8055,245.64
874,207+432,2613769.5943,1267581.4343,215.14,2613769.5943,1267581.4343,245.64
875,207+435,2613772.2626,1267580.063,215.197,2613772.2626,1267580.063,245.6104
876,207+438,2613774.9309,1267578.6917,215.254,2613774.9309,1267578.6917,245.6416
877,207+441,2613777.5991,1267577.3204,215.311,2613777.5991,1267577.3204,245.6184
878,207+444,2613780.2674,1267575.9492,215.368,2613780.2674,1267575.9492,245.5779
879,207+447,2613782.9357,1267574.5779,215.425,2613782.9357,1267574.5779,245.6265
880,207+450,2613785.6039,1267573.2066,215.483,2613785.6039,1267573.2066,245.586
881,207+453,2613788.2722,1267571.8354,215.54,2613788.2722,1267571.8354,245.586
882,207+456,2613790.9404,1267570.4641,215.597,2613790.9404,1267570.4641,245.5531
883,207+459,2613793.6087,1267569.0928,215.654,2613793.6087,1267569.0928,245.5157
884,207+462,2613796.277,1267567.7216,215.711,2613796.277,1267567.7216,245.5538
885,207+465,2613798.9452,1267566.3503,215.768,2613798.9452,1267566.3503,245.5538
886,207+468,2613801.6135,1267564.979,215.825,2613801.6135,1267564.979,245.542
887,207+471,2613804.2818,1267563.6078,215.882,2613804.2818,1267563.6078,245.542
888,207+474,2613806.95,1267562.2365,215.939,2613806.95,1267562.2365,245.5581
889,207+477,2613809.6183,1267560.8652,215.996,2613809.6183,1267560.8652,245.5581
890,207+480,2613812.2865,1267559.494,216.054,2613812.2865,1267559.494,245.5407
891,207+483,2613814.9548,1267558.1227,216.111,2613814.9548,1267558.1227,245.5407
892,207+486,2613817.6231,1267556.7514,216.168,2613817.6231,1267556.7514,245.5541
893,207+489,2613820.2913,1267555.3802,216.225,2613820.2913,1267555.3802,245.5495
894,207+492,2613822.9596,1267554.0089,216.282,2613822.9596,1267554.0089,245.5281
895,207+495,2613825.6279,1267552.6376,216.339,2613825.6279,1267552.6376,245.5224
896,207+498,2613828.2961,1267551.2664,216.396,2613828.2961,1267551.2664,245.5224
897,207+501,2613830.9644,1267549.8951,216.453,2613830.9644,1267549.8951,245.4954
898,207+504,2613833.6326,1267548.5238,216.51,2613833.6326,1267548.5238,245.4954
899,207+507,2613836.3009,1267547.1526,216.567,2613836.3009,1267547.1526,245.4897
900,207+510,2613838.9692,1267545.7813,216.625,2613838.9692,1267545.7813,245.4897
901,207+513,2613841.6374,1267544.41,216.682,2613841.6374,1267544.41,245.4626
902,207+516,2613844.3057,1267543.0388,216.739,2613844.3057,1267543.0388,245.4626
903,207+519,2613846.974,1267541.6675,216.796,2613846.974,1267541.6675,245.4229
904,207+522,2613849.6422,1267540.2962,216.853,2613849.6422,1267540.2962,245.4229
905,207+525,2613852.3105,1267538.925,216.91,2613852.3105,1267538.925,245.3319
906,207+528,2613854.9787,1267537.5537,216.967,2613854.9787,1267537.5537,245.3319
907,207+531,2613857.647,1267536.1824,217.024,2613857.647,1267536.1824,245.3389
908,207+534,2613860.3153,1267534.8111,217.081,2613860.3153,1267534.8111,245.3653
909,207+537,2613862.9835,1267533.4399,217.139,2613862.9835,1267533.4399,245.3653
910,207+540,2613865.6518,1267532.0686,217.196,2613865.6518,1267532.0686,245.3768
911,207+543,2613868.3201,1267530.6973,217.253,2613868.3201,1267530.6973,245.3768
912,207+546,2613870.9883,1267529.3261,217.31,2613870.9883,1267529.3261,245.4033
913,207+549,2613873.6566,1267527.9548,217.367,2613873.6566,1267527.9548,245.4033
914,207+552,2613876.3248,1267526.5835,217.424,2613876.3248,1267526.5835,245.4149
915,207+555,2613878.9931,1267525.2123,217.481,2613878.9931,1267525.2123,245.4149
916,207+558,2613881.6614,1267523.841,217.538,2613881.6614,1267523.841,245.4413
917,207+561,2613884.3296,1267522.4697,217.595,2613884.3296,1267522.4697,245.4413
918,207+564,2613886.9979,1267521.0985,217.652,2613886.9979,1267521.0985,245.4476
919,207+567,2613889.6662,1267519.7272,217.71,2613889.6662,1267519.7272,245.4636
920,207+570,2613892.3344,1267518.3559,217.767,2613892.3344,1267518.3559,245.4607
921,207+573,2613895.0027,1267516.9847,217.824,2613895.0027,1267516.9847,245.4572
922,207+576,2613897.6709,1267515.6134,217.881,2613897.6709,1267515.6134,245.4572
923,207+579,2613900.3392,1267514.2421,217.938,2613900.3392,1267514.2421,248.086
924,207+582,2613903.0075,1267512.8709,217.995,2613903.0075,1267512.8709,248.086
925,207+585,2613905.6757,1267511.4996,218.052,2613905.6757,1267511.4996,248.6095
926,207+588,2613908.344,1267510.1283,218.109,2613908.344,1267510.1283,248.6095
927,207+591,2613911.0123,1267508.7571,218.166,2613911.0123,1267508.7571,251.4223
928,207+594,2613913.6805,1267507.3858,218.223,2613913.6805,1267507.3858,251.4223
929,207+597,2613916.3488,1267506.0145,218.281,2613916.3488,1267506.0145,251.8864
930,207+600,2613919.017,1267504.6433,218.338,2613919.017,1267504.6433,254.4724
931,207+603,2613921.6853,1267503.272,218.395,2613921.6853,1267503.272,254.4782
