,Station,Easting,Northing,Elevation,easting,northing,DTM
338,205+854,2612656.8684,1268626.7567,229.839,2612656.8684,1268626.7567,262.9792
339,205+857,2612658.3585,1268624.1529,229.688,2612658.3585,1268624.1529,262.8658
340,205+860,2612659.8486,1268621.5491,229.538,2612659.8486,1268621.5491,262.8658
341,205+863,2612661.3387,1268618.9454,229.388,2612661.3387,1268618.9454,262.9876
342,205+866,2612662.8288,1268616.3416,229.238,2612662.8288,1268616.3416,262.9876
343,205+869,2612664.3189,1268613.7378,229.088,2612664.3189,1268613.7378,262.899
344,205+872,2612665.809,1268611.1341,228.938,2612665.809,1268611.1341,263.1153
345,205+875,2612667.2991,1268608.5303,228.788,2612667.2991,1268608.5303,263.0352
346,205+878,2612668.7892,1268605.9265,228.638,2612668.7892,1268605.9265,263.0352
347,205+881,2612670.2793,1268603.3228,228.488,2612670.2793,1268603.3228,263.091
348,205+884,2612671.7694,1268600.719,228.338,2612671.7694,1268600.719,263.091
349,205+887,2612673.2595,1268598.1152,228.188,2612673.2595,1268598.1152,263.0636
350,205+890,2612674.7496,1268595.5115,228.037,2612674.7496,1268595.5115,263.0636
351,205+893,2612676.2397,1268592.9077,227.887,2612676.2397,1268592.9077,263.0849
352,205+896,2612677.7298,1268590.3039,227.737,2612677.7298,1268590.3039,263.0849
353,205+899,2612679.2199,1268587.7002,227.587,2612679.2199,1268587.7002,263.0054
354,205+899.115,2612679.277,1268587.6003,227.581,2612679.277,1268587.6003,263.0054
355,205+902,2612680.71,1268585.0964,227.438,2612680.71,1268585.0964,263.1968
356,205+905,2612682.2001,1268582.4926,227.289,2612682.2001,1268582.4926,263.0381
357,205+908,2612683.6902,1268579.8889,227.141,2612683.6902,1268579.8889,262.9917
358,205+911,2612685.1803,1268577.2851,226.994,2612685.1803,1268577.2851,263.1348
359,205+914,2612686.6704,1268574.6813,226.848,2612686.6704,1268574.6813,263.0796
360,205+917,2612688.1605,1268572.0776,226.703,2612688.1605,1268572.0776,263.0796
361,205+920,2612689.6506,1268569.4738,226.559,2612689.6506,1268569.4738,263.1461
362,205+923,2612691.1407,1268566.87,226.415,2612691.1407,1268566.87,263.158
363,205+926,2612692.6307,1268564.2663,226.273,2612692.6307,1268564.2663,263.0902
364,205+929,2612694.1208,1268561.6625,226.131,2612694.1208,1268561.6625,263.0902
365,205+932,2612695.6109,1268559.0587,225.991,2612695.6109,1268559.0587,263.1824
366,205+935,2612697.101,1268556.4549,225.851,2612697.101,1268556.4549,263.1824
367,205+938,2612698.5911,1268553.8512,225.712,2612698.5911,1268553.8512,263.0327
368,205+941,2612700.0812,1268551.2474,225.574,2612700.0812,1268551.2474,263.2141
369,205+944,2612701.5713,1268548.6436,225.437,2612701.5713,1268548.6436,263.1578
370,205+947,2612703.0614,1268546.0399,225.301,2612703.0614,1268546.0399,263.1578
371,205+950,2612704.5515,1268543.4361,225.166,2612704.5515,1268543.4361,263.049
372,205+953,2612706.0416,1268540.8323,225.031,2612706.0416,1268540.8323,263.2554
373,205+956,2612707.5317,1268538.2286,224.898,2612707.5317,1268538.2286,263.1974
374,205+959,2612709.0218,1268535.6248,224.765,2612709.0218,1268535.6248,263.1974
375,205+962,2612710.5119,1268533.021,224.634,2612710.5119,1268533.021,263.2567
376,205+965,2612712.002,1268530.4173,224.503,2612712.002,1268530.4173,263.2567
377,205+968,2612713.4921,1268527.8135,224.373,2612713.4921,1268527.8135,263.1887
378,205+971,2612714.9822,1268525.2097,224.244,2612714.9822,1268525.2097,263.1887
379,205+974,2612716.4723,1268522.606,224.116,2612716.4723,1268522.606,263.2267
380,205+977,2612717.9624,1268520.0022,223.989,2612717.9624,1268520.0022,263.2267
381,205+980,2612719.4525,1268517.3984,223.863,2612719.4525,1268517.3984,263.0771
382,205+983,2612720.9426,1268514.7947,223.738,2612720.9426,1268514.7947,263.122
383,205+986,2612722.4327,1268512.1909,223.613,2612722.4327,1268512.1909,263.122
384,205+989,2612723.9228,1268509.5871,223.49,2612723.9228,1268509.5871,263.1236
385,205+992,2612725.4129,1268506.9834,223.367,2612725.4129,1268506.9834,263.1819
386,205+995,2612726.903,1268504.3796,223.245,2612726.903,1268504.3796,263.261
387,205+998,2612728.3931,1268501.7758,223.125,2612728.3931,1268501.7758,263.261
388,206+001,2612729.8832,1268499.1721,223.005,2612729.8832,1268499.1721,263.1013
389,206+004,2612731.3733,1268496.5683,222.886,2612731.3733,1268496.5683,263.2246
390,206+007,2612732.8634,1268493.9645,222.768,2612732.8634,1268493.9645,263.1934
391,206+010,2612734.3535,1268491.3608,222.65,2612734.3535,1268491.3608,263.1934
392,206+013,2612735.8436,1268488.757,222.534,2612735.8436,1268488.757,263.1832
393,206+016,2612737.3337,1268486.1532,222.419,2612737.3337,1268486.1532,263.1832
394,206+019,2612738.8238,1268483.5494,222.304,2612738.8238,1268483.5494,263.1616
395,206+022,2612740.3139,1268480.9457,222.191,2612740.3139,1268480.9457,263.142
396,206+025,2612741.804,1268478.3419,222.078,2612741.804,1268478.3419,263.3423
397,206+028,2612743.2941,1268475.7381,221.966,2612743.2941,1268475.7381,263.3423
398,206+031,2612744.7842,1268473.1344,221.855,2612744.7842,1268473.1344,263.2831
399,206+034,2612746.2743,1268470.5306,221.745,2612746.2743,1268470.5306,263.2639
