"Point","Type","Station","Northing","Easting","Elevation"
"205+910:1","","205+910","1268578.1532","2612684.6833","227.216"
"","","","","",""
"205+915","","205+915","1268573.8136","2612687.1668","226.973"
"","","","","",""
"205+920:2","","205+920","1268569.4740","2612689.6503","226.732"
"","","","","",""
"205+925","","205+925","1268565.1344","2612692.1338","226.493"
"","","","","",""
"205+930:1","","205+930","1268560.7948","2612694.6173","226.258"
"","","","","",""
"205+935:1","","205+935","1268556.4552","2612697.1008","226.024"
"","","","","",""
"205+940:1","","205+940","1268552.1156","2612699.5843","225.793"
"","","","","",""
"205+945","","205+945","1268547.7759","2612702.0678","225.565"
"","","","","",""
"205+950:2","","205+950","1268543.4363","2612704.5513","225.339"
"","","","","",""
"205+955","","205+955","1268539.0967","2612707.0348","225.116"
"","","","","",""
"205+960:1","","205+960","1268534.7571","2612709.5183","224.895"
"","","","","",""
"205+965:1","","205+965","1268530.4175","2612712.0018","224.677"
"","","","","",""
"205+970:1","","205+970","1268526.0779","2612714.4853","224.461"
"","","","","",""
"205+975","","205+975","1268521.7383","2612716.9688","224.248"
"","","","","",""
"205+980:2","","205+980","1268517.3987","2612719.4523","224.037"
"","","","","",""
"205+985","","205+985","1268513.0590","2612721.9358","223.829"
"","","","","",""
"205+990:1","","205+990","1268508.7194","2612724.4192","223.623"
"","","","","",""
"205+995:1","","205+995","1268504.3798","2612726.9027","223.420"
"","","","","",""
"206+000:2","","206+000","1268500.0402","2612729.3862","223.219"
"","","","","",""
"206+005","","206+005","1268495.7006","2612731.8697","223.021"
"","","","","",""
"206+010:2","","206+010","1268491.3610","2612734.3532","222.825"
"","","","","",""
"206+015","","206+015","1268487.0214","2612736.8367","222.632"
"","","","","",""
"206+020:1","","206+020","1268482.6817","2612739.3202","222.441"
"","","","","",""
"206+025:1","","206+025","1268478.3421","2612741.8037","222.253"
"","","","","",""
"206+030:1","","206+030","1268474.0025","2612744.2872","222.067"
"","","","","",""
"206+035","","206+035","1268469.6629","2612746.7707","221.884"
"","","","","",""
"206+040:2","","206+040","1268465.3233","2612749.2542","221.703"
"","","","","",""
"206+045","","206+045","1268460.9837","2612751.7377","221.525"
"","","","","",""
"206+050:1","","206+050","1268456.6441","2612754.2212","221.349"
"","","","","",""
"206+055:1","","206+055","1268452.3044","2612756.7047","221.176"
"","","","","",""
"206+060:1","","206+060","1268447.9648","2612759.1882","221.005"
"","","","","",""
"206+065","","206+065","1268443.6252","2612761.6717","220.837"
"","","","","",""
"206+070:2","","206+070","1268439.2856","2612764.1552","220.671"
"","","","","",""
"206+075","","206+075","1268434.9460","2612766.6387","220.508"
"","","","","",""
"206+080:1","","206+080","1268430.6064","2612769.1222","220.347"
"","","","","",""
"206+085:1","","206+085","1268426.2668","2612771.6057","220.189"
"","","","","",""
"206+090:1","","206+090","1268421.9272","2612774.0892","220.033"
"","","","","",""
"206+095","","206+095","1268417.5875","2612776.5727","219.880"
"","","","","",""
"206+100:3","","206+100","1268413.2479","2612779.0562","219.729"
"","","","","",""
"206+105","","206+105","1268408.9083","2612781.5397","219.581"
"","","","","",""
"206+110:1","","206+110","1268404.5687","2612784.0232","219.435"
"","","","","",""
"206+115:1","","206+115","1268400.2291","2612786.5067","219.292"
"","","","","",""
"206+120:1","","206+120","1268395.8895","2612788.9901","219.152"
"","","","","",""
"206+125","","206+125","1268391.5499","2612791.4736","219.013"
"","","","","",""
"206+130:2","","206+130","1268387.2102","2612793.9571","218.878"
"","","","","",""
"206+135","","206+135","1268382.8706","2612796.4406","218.745"
"","","","","",""
"206+140:1","","206+140","1268378.5310","2612798.9241","218.614"
"","","","","",""
"206+145:1","","206+145","1268374.1914","2612801.4076","218.486"
"","","","","",""
"EC3:2","","206+148.723","1268370.9601","2612803.2568","218.392"
"","","","","",""
"206+150:1","","206+150","1268369.8518","2612803.8911","218.360"
"","","","","",""
"206+155","","206+155","1268365.5122","2612806.3746","218.235"
"","","","","",""
"206+160:2","","206+160","1268361.1726","2612808.8581","218.110"
"","","","","",""
"206+165","","206+165","1268356.8329","2612811.3416","217.985"
"","","","","",""
"206+170:1","","206+170","1268352.4933","2612813.8251","217.860"
"","","","","",""
"206+175:1","","206+175","1268348.1537","2612816.3086","217.735"
"","","","","",""
"206+180:1","","206+180","1268343.8141","2612818.7921","217.610"
"","","","","",""
"206+185","","206+185","1268339.4745","2612821.2756","217.485"
"","","","","",""
"206+190:2","","206+190","1268335.1349","2612823.7591","217.360"
"","","","","",""
"206+195","","206+195","1268330.7953","2612826.2426","217.235"
"","","","","",""
"206+200:2","","206+200","1268326.4557","2612828.7261","217.110"
"","","","","",""
"206+205:1","","206+205","1268322.1160","2612831.2096","216.985"
"","","","","",""
"206+210:1","","206+210","1268317.7764","2612833.6931","216.860"
"","","","","",""
"206+215","","206+215","1268313.4368","2612836.1766","216.735"
"","","","","",""
"206+220:2","","206+220","1268309.0972","2612838.6601","216.610"
"","","","","",""
"206+225","","206+225","1268304.7576","2612841.1436","216.485"
"","","","","",""
"206+230:1","","206+230","1268300.4180","2612843.6271","216.360"
"","","","","",""
"206+235:1","","206+235","1268296.0784","2612846.1106","216.235"
"","","","","",""
"206+240:1","","206+240","1268291.7387","2612848.5941","216.110"
"","","","","",""
"206+245","","206+245","1268287.3991","2612851.0776","215.985"
"","","","","",""
"206+250:2","","206+250","1268283.0595","2612853.5610","215.860"
"","","","","",""
"206+255","","206+255","1268278.7199","2612856.0445","215.735"
"","","","","",""
"206+260:1","","206+260","1268274.3803","2612858.5280","215.610"
"","","","","",""
"206+265:1","","206+265","1268270.0407","2612861.0115","215.485"
"","","","","",""
"206+270:1","","206+270","1268265.7011","2612863.4950","215.360"
"","","","","",""
"206+275","","206+275","1268261.3614","2612865.9785","215.235"
"","","","","",""
"206+280:2","","206+280","1268257.0218","2612868.4620","215.110"
"","","","","",""
"206+285","","206+285","1268252.6822","2612870.9455","214.985"
"","","","","",""
"206+290:1","","206+290","1268248.3426","2612873.4290","214.860"
"","","","","",""
"206+295:1","","206+295","1268244.0030","2612875.9125","214.735"
"","","","","",""
"206+300:2","","206+300","1268239.6634","2612878.3960","214.610"
"","","","","",""
"206+305","","206+305","1268235.3238","2612880.8795","214.485"
"","","","","",""
"206+310:2","","206+310","1268230.9842","2612883.3630","214.360"
"","","","","",""
"206+315","","206+315","1268226.6445","2612885.8465","214.235"
"","","","","",""
"222","TS","206+317.952","1268224.0820","2612887.3130","214.161"
"","","","","",""
"206+320:1","SP","206+320","1268222.3049","2612888.3300","214.110"
"","","","","",""
"206+325:1","SP","206+325","1268217.9655","2612890.8139","213.985"
"","","","","",""
"206+330:1","SP","206+330","1268213.6269","2612893.2990","213.860"
"","","","","",""
"206+335","SP","206+335","1268209.2894","2612895.7863","213.735"
"","","","","",""
"206+340:2","SP","206+340","1268204.9537","2612898.2766","213.610"
"","","","","",""
"206+345","SP","206+345","1268200.6202","2612900.7708","213.485"
"","","","","",""
"206+350:1","SP","206+350","1268196.2895","2612903.2698","213.360"
"","","","","",""
"206+355:1","SP","206+355","1268191.9621","2612905.7744","213.235"
"","","","","",""
"206+360:1","SP","206+360","1268187.6384","2612908.2856","213.110"
"","","","","",""
"206+365","SP","206+365","1268183.3191","2612910.8042","212.985"
"","","","","",""
"206+370:2","SP","206+370","1268179.0046","2612913.3311","212.860"
"","","","","",""
"206+375","SP","206+375","1268174.6955","2612915.8672","212.735"
"","","","","",""
"206+380:1","SP","206+380","1268170.3923","2612918.4132","212.610"
"","","","","",""
"206+385:1","SP","206+385","1268166.0956","2612920.9702","212.485"
"","","","","",""
"206+390:1","SP","206+390","1268161.8059","2612923.5389","212.360"
"","","","","",""
"BC4:5","SP","206+392.591","1268159.5859","2612924.8749","212.295"
"","","","","",""
"BC4:4","SP","206+393.709","1268158.6286","2612925.4525","212.267"
"","","","","",""
"206+395","SP","206+395","1268157.5237","2612926.1203","212.235"
"","","","","",""
"206+400:3","SP","206+400","1268153.2497","2612928.7150","212.112"
"","","","","",""
"206+405","SP","206+405","1268148.9844","2612931.3241","211.991"
"","","","","",""
"206+410:1","SP","206+410","1268144.7284","2612933.9483","211.872"
"","","","","",""
"206+415:1","SP","206+415","1268140.4823","2612936.5885","211.755"
"","","","","",""
"206+420:1","SP","206+420","1268136.2467","2612939.2455","211.640"
"","","","","",""
"206+425","SP","206+425","1268132.0222","2612941.9201","211.527"
"","","","","",""
"206+430:2","SP","206+430","1268127.8094","2612944.6131","211.416"
"","","","","",""
"206+435","SP","206+435","1268123.6090","2612947.3254","211.307"
"","","","","",""
"206+440:1","SP","206+440","1268119.4216","2612950.0577","211.200"
"","","","","",""
"206+445:1","SP","206+445","1268115.2478","2612952.8108","211.095"
"","","","","",""
"206+450:1","SP","206+450","1268111.0884","2612955.5855","210.992"
"","","","","",""
"206+455","SP","206+455","1268106.9440","2612958.3826","210.891"
"","","","","",""
"206+460:2","SP","206+460","1268102.8153","2612961.2029","210.792"
"","","","","",""
"206+465","SP","206+465","1268098.7030","2612964.0470","210.695"
"","","","","",""
"517","SC","206+465.542","1268098.2580","2612964.3570","210.684"
"","","","","",""
"206+470:1","PC","206+470","1268094.6080","2612966.9156","210.600"
"","","","","",""
"206+475:1","PC","206+475","1268090.5301","2612969.8089","210.507"
"","","","","",""
"206+480:1","PC","206+480","1268086.4698","2612972.7267","210.416"
"","","","","",""
"206+485","PC","206+485","1268082.4271","2612975.6689","210.327"
"","","","","",""
"206+490:2","PC","206+490","1268078.4022","2612978.6354","210.240"
"","","","","",""
"206+495","PC","206+495","1268074.3953","2612981.6261","210.155"
"","","","","",""
"206+500:2","PC","206+500","1268070.4064","2612984.6409","210.072"
"","","","","",""
"206+505:1","PC","206+505","1268066.4358","2612987.6797","209.991"
"","","","","",""
"206+510:1","PC","206+510","1268062.4835","2612990.7423","209.912"
"","","","","",""
"206+515","PC","206+515","1268058.5498","2612993.8287","209.834"
"","","","","",""
"206+520:2","PC","206+520","1268054.6347","2612996.9387","209.759"
"","","","","",""
"206+525","PC","206+525","1268050.7385","2613000.0723","209.686"
"","","","","",""
"206+530:1","PC","206+530","1268046.8612","2613003.2292","209.615"
"","","","","",""
"206+535:1","PC","206+535","1268043.0030","2613006.4095","209.546"
"","","","","",""
"206+540:1","PC","206+540","1268039.1640","2613009.6129","209.479"
"","","","","",""
"206+545","PC","206+545","1268035.3443","2613012.8394","209.414"
"","","","","",""
"206+550:2","PC","206+550","1268031.5442","2613016.0889","209.351"
"","","","","",""
"206+555","PC","206+555","1268027.7637","2613019.3612","209.290"
"","","","","",""
