,Station,Easting,Northing,Elevation,DTM,RockSurface,StationReal,RockCover,WBScode,WorkType,ExcavationType,ProfileType,SectionArea,Description,Unit,BoreClass,SupportClass,DisposalClass,StationInterval,ExcavationVolume,DisposalVolume
53,104+223,2611070.77,1268888.781,255.166,244.764,238.0,104223.0,-17.165999999999997,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0007647358624205,NaN,NaN
54,104+226,2611073.77,1268888.723,255.131,244.764,238.0,104226.0,-17.131,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.999776824867529,NaN,NaN
55,104+229,2611076.769,1268888.665,255.095,244.736,238.0,104229.0,-17.095,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9997823257385337,NaN,NaN
56,104+232,2611079.768,1268888.608,255.057,244.736,238.0,104232.0,-17.056999999999988,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000814056217989,NaN,NaN
57,104+235,2611082.768,1268888.55,255.018,244.795,238.0,104235.0,-17.018,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9998548296563143,NaN,NaN
58,104+238,2611085.767,1268888.492,254.976,244.895,238.0,104238.0,-16.976,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000868707561607,NaN,NaN
59,104+241,2611088.767,1268888.434,254.933,244.895,238.0,104241.0,-16.932999999999993,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9998791640653972,NaN,NaN
60,104+244,2611091.766,1268888.377,254.888,244.871,238.0,104244.0,-16.888000000000005,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0009286895930183,NaN,NaN
61,104+247,2611094.766,1268888.319,254.841,244.871,238.0,104247.0,-16.841000000000008,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.9999610000473926,NaN,NaN
62,104+250,2611097.765,1268888.261,254.792,244.805,238.0,104250.0,-16.792,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,2.99997516640059,NaN,NaN
63,104+253,2611100.764,1268888.204,254.741,244.817,238.0,104253.0,-16.741000000000014,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0010111629241676,NaN,NaN
64,104+256,2611103.764,1268888.146,254.689,244.817,238.0,104256.0,-16.688999999999993,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.000046832803167,NaN,NaN
65,104+259,2611106.763,1268888.088,254.635,244.83,238.0,104259.0,-16.63499999999999,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.001083137801327,NaN,NaN
66,104+262,2611109.763,1268888.03,254.579,244.83,238.0,104262.0,-16.579000000000008,2,NaN,NaN,NaN,NaN,highway,m3,NaN,NaN,NaN,3.0001023318902456,NaN,NaN
