,Station,Easting,Northing,Elevation,Alignment_Station_real
417,205+473,2612467.626,1268957.435,248.899,205473.0
419,205+476,2612469.116,1268954.831,248.749,205476.0
421,205+479,2612470.606,1268952.228,248.599,205479.0
423,205+482,2612472.096,1268949.624,248.449,205482.0
425,205+485,2612473.586,1268947.02,248.299,205485.0
427,205+488,2612475.076,1268944.416,248.149,205488.0
429,205+491,2612476.566,1268941.813,247.999,205491.0
431,205+494,2612478.057,1268939.209,247.849,205494.0
433,205+497,2612479.547,1268936.605,247.698,205497.0
435,205+500,2612481.037,1268934.001,247.548,205500.0
437,205+503,2612482.527,1268931.398,247.398,205503.0
439,205+506,2612484.017,1268928.794,247.248,205506.0
441,205+509,2612485.507,1268926.19,247.098,205509.0
443,205+512,2612486.997,1268923.586,246.948,205512.0
445,205+515,2612488.487,1268920.982,246.798,205515.0
447,205+518,2612489.977,1268918.379,246.648,205518.0
449,205+521,2612491.468,1268915.775,246.498,205521.0
451,205+524,2612492.958,1268913.171,246.348,205524.0
453,205+527,2612494.448,1268910.567,246.198,205527.0
455,205+530,2612495.938,1268907.964,246.048,205530.0
457,205+533,2612497.428,1268905.36,245.897,205533.0
459,205+536,2612498.918,1268902.756,245.747,205536.0
461,205+539,2612500.408,1268900.152,245.597,205539.0
463,205+542,2612501.898,1268897.548,245.447,205542.0
465,205+545,2612503.388,1268894.945,245.297,205545.0
467,205+548,2612504.878,1268892.341,245.147,205548.0
469,205+551,2612506.368,1268889.737,244.997,205551.0
471,205+554,2612507.859,1268887.134,244.847,205554.0
473,205+557,2612509.349,1268884.53,244.697,205557.0
475,205+560,2612510.839,1268881.926,244.547,205560.0
477,205+563,2612512.329,1268879.322,244.397,205563.0
479,205+566,2612513.819,1268876.718,244.247,205566.0
481,205+569,2612515.309,1268874.115,244.096,205569.0
483,205+572,2612516.799,1268871.511,243.946,205572.0
485,205+575,2612518.289,1268868.907,243.796,205575.0
487,205+578,2612519.779,1268866.303,243.646,205578.0
489,205+581,2612521.27,1268863.7,243.496,205581.0
491,205+584,2612522.76,1268861.096,243.346,205584.0
493,205+587,2612524.25,1268858.492,243.196,205587.0
495,205+590,2612525.74,1268855.888,243.046,205590.0
497,205+593,2612527.23,1268853.284,242.896,205593.0
499,205+596,2612528.72,1268850.681,242.746,205596.0
501,205+599,2612530.21,1268848.077,242.596,205599.0
503,205+602,2612531.7,1268845.473,242.446,205602.0
505,205+605,2612533.19,1268842.869,242.295,205605.0
507,205+608,2612534.68,1268840.266,242.145,205608.0
509,205+611,2612536.17,1268837.662,241.995,205611.0
511,205+614,2612537.66,1268835.058,241.845,205614.0
513,205+617,2612539.151,1268832.454,241.695,205617.0
515,205+620,2612540.641,1268829.851,241.545,205620.0
517,205+623,2612542.131,1268827.247,241.395,205623.0
519,205+626,2612543.621,1268824.643,241.245,205626.0
521,205+629,2612545.111,1268822.039,241.095,205629.0
523,205+632,2612546.601,1268819.436,240.945,205632.0
525,205+635,2612548.091,1268816.832,240.795,205635.0
527,205+638,2612549.581,1268814.228,240.645,205638.0
529,205+641,2612551.071,1268811.624,240.494,205641.0
