	Xcoord	Ycoord	Zcoord	Felstiefe	DTM	Felsoberflache	delta_ZCoordFelstiefe
276	2612897.4221	1268206.5037	213.5	23.24856	262.7325	239.64814069	190.25144
277	2612897.6724	1268206.0705	213.488	23.24856	262.7325	239.64814069	190.23944
278	2612897.9227	1268205.6374	213.475	23.24856	262.7325	239.64814069	190.22644
279	2612898.1731	1268205.2042	213.463	23.24856	262.7325	239.64814069	190.21444
280	2612898.4236	1268204.7711	213.45	23.24856	262.7585	239.64814069	190.20144
281	2612898.6741	1268204.3381	213.438	23.24856	262.7585	239.64814069	190.18944
282	2612898.9247	1268203.905	213.425	23.24856	262.7585	239.64814069	190.17644
283	2612899.1753	1268203.472	213.413	23.24856	262.7585	239.64814069	190.16444
284	2612899.426	1268203.0391	213.4	23.24856	262.7585	239.64814069	190.15144
285	2612899.6768	1268202.6062	213.388	23.24856	262.7585	239.64814069	190.13944
286	2612899.9276	1268202.1733	213.375	23.24856	262.7585	239.64814069	190.12644
287	2612900.1785	1268201.7404	213.363	23.24856	262.7885	239.64814069	190.11444
288	2612900.4295	1268201.3076	213.35	23.24856	262.7885	239.64814069	190.10144
289	2612900.6805	1268200.8748	213.338	23.24856	262.7885	239.64814069	190.08944
290	2612900.9316	1268200.4421	213.325	23.24856	262.7885	239.64814069	190.07644
291	2612901.1828	1268200.0094	213.313	23.24856	262.7885	239.64814069	190.06444
292	2612901.434	1268199.5768	213.3	23.24856	262.808	239.64814069	190.05144
293	2612901.6853	1268199.1442	213.287	23.24856	262.808	239.64814069	190.03844
294	2612901.9367	1268198.7116	213.275	23.24856	262.808	239.64814069	190.02644
295	2612902.1881	1268198.279	213.262	23.24856	262.808	239.64814069	190.01344
296	2612902.4396	1268197.8466	213.25	23.24856	262.808	239.64814069	190.00144
297	2612902.6912	1268197.4141	213.237	23.24856	262.808	239.64814069	189.98844
298	2612902.9429	1268196.9817	213.225	23.24993	262.808	239.615917425	189.97507
299	2612903.1946	1268196.5494	213.212	23.24993	262.808	239.615917425	189.96207
300	2612903.4464	1268196.117	213.2	23.21396	262.808	239.618097042	189.98604
301	2612903.6983	1268195.6848	213.187	23.21396	262.808	239.618097042	189.97304
302	2612903.9503	1268195.2525	213.175	23.21396	262.808	239.618097042	189.96104
303	2612904.2023	1268194.8204	213.162	23.21396	262.7896	239.618097042	189.94804
304	2612904.4545	1268194.3882	213.15	23.21396	262.7896	239.618097042	189.93604
305	2612904.7067	1268193.9561	213.137	23.21396	262.7896	239.618097042	189.92304
306	2612904.9589	1268193.5241	213.125	23.21396	262.7896	239.618097042	189.91104
307	2612905.2113	1268193.0921	213.112	23.21396	262.8183	239.618097042	189.89804
308	2612905.4638	1268192.6602	213.1	23.21396	262.8183	239.618097042	189.88604
309	2612905.7163	1268192.2283	213.087	23.21396	262.8183	239.618097042	189.87304
310	2612905.9689	1268191.7964	213.075	23.21396	262.8183	239.618097042	189.86104
311	2612906.2216	1268191.3646	213.062	23.21396	262.8183	239.618097042	189.84804
312	2612906.4744	1268190.9329	213.05	23.21396	262.8183	239.618097042	189.83604
313	2612906.7273	1268190.5012	213.037	23.21396	262.8183	239.618097042	189.82304
314	2612906.9803	1268190.0696	213.025	23.21396	262.8183	239.618097042	189.81104
315	2612907.2333	1268189.638	213.012	23.21396	262.7533	239.618097042	189.79804
316	2612907.4865	1268189.2064	213.0	23.21396	262.7533	239.618097042	189.78604
317	2612907.7397	1268188.775	212.987	23.21396	262.7533	239.618097042	189.77304
318	2612907.9931	1268188.3435	212.975	23.21396	262.7533	239.618097042	189.76104
319	2612908.2465	1268187.9122	212.962	23.21396	262.7533	239.618097042	189.74804
320	2612908.5	1268187.4808	212.95	23.21396	262.7533	239.618097042	189.73604
321	2612908.7536	1268187.0496	212.937	23.21396	262.7533	239.618097042	189.72304
322	2612909.0073	1268186.6184	212.925	23.21396	262.7533	239.618097042	189.71104
323	2612909.2611	1268186.1872	212.912	23.21396	262.7533	239.618097042	189.69804
324	2612909.515	1268185.7561	212.9	23.21396	262.7533	239.618097042	189.68604
325	2612909.769	1268185.3251	212.887	23.21396	262.7533	239.618097042	189.67304
326	2612910.0231	1268184.8941	212.875	23.21396	262.7672	239.618097042	189.66104
327	2612910.2773	1268184.4632	212.862	23.21396	262.7672	239.618097042	189.64804
328	2612910.5316	1268184.0323	212.85	23.21396	262.7672	239.618097042	189.63604
329	2612910.786	1268183.6015	212.837	23.21396	262.7672	239.618097042	189.62304
330	2612911.0405	1268183.1708	212.825	23.21396	262.7672	239.618097042	189.61104
331	2612911.2951	1268182.7401	212.812	23.21396	262.7672	239.618097042	189.59804
332	2612911.5498	1268182.3095	212.8	23.21396	262.7672	239.618097042	189.58604
333	2612911.8046	1268181.879	212.787	23.21396	262.7672	239.618097042	189.57304
334	2612912.0595	1268181.4485	212.775	23.21396	262.7672	239.618097042	189.56104
335	2612912.3146	1268181.018	212.762	23.21396	262.7672	239.618097042	189.54804
336	2612912.5697	1268180.5877	212.75	23.21396	262.7672	239.618097042	189.53604
337	2612912.8249	1268180.1574	212.737	23.21396	262.7672	239.618097042	189.52304
338	2612913.0803	1268179.7271	212.725	23.21396	262.8075	239.618097042	189.51104
339	2612913.3357	1268179.2969	212.712	23.21396	262.8075	239.618097042	189.49804
340	2612913.5913	1268178.8668	212.7	23.21396	262.8075	239.618097042	189.48604
341	2612913.847	1268178.4368	212.687	23.21396	262.8075	239.618097042	189.47304
342	2612914.1028	1268178.0068	212.675	23.21396	262.8075	239.618097042	189.46104
